REPORT START/STOP
Start Time,10/06/2021,11:27:57
End Time,10/06/2021,11:28:14

Program,R290_pi_2.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
10/06/2021;11:27:57,?,22.984159,?,59.324074,400,0,25,35.523743
10/06/2021;11:27:58,?,22.980843,?,59.324074,400,0,25,35.523743
10/06/2021;11:27:59,?,22.977074,?,59.33252,400,0,25,35.526024
10/06/2021;11:28:00,?,22.9715,?,59.330856,400,54.138962,25,35.53804
10/06/2021;11:28:01,?,22.967525,?,59.342712,400,153.334045,25,35.540554
10/06/2021;11:28:02,?,22.962536,?,59.327988,400,191.913635,25,35.532639
10/06/2021;11:28:03,?,22.96039,?,59.325531,400,201.839462,25,35.524799
10/06/2021;11:28:04,?,22.95607,?,59.314678,400,204.2547,25,35.522705
10/06/2021;11:28:05,?,22.95607,?,59.291862,400,204.795181,25,35.521725
10/06/2021;11:28:06,?,22.952375,?,59.287392,400,204.954407,25,35.520458
10/06/2021;11:28:07,?,22.946503,?,59.292912,400,205.014648,25,35.519058
10/06/2021;11:28:08,?,22.941975,?,59.289455,400,204.975616,25,35.508148
10/06/2021;11:28:09,?,22.93828,?,59.287251,400,204.972946,25,35.501976
10/06/2021;11:28:10,?,22.934822,?,59.280411,400,205.016479,25,35.497555
10/06/2021;11:28:11,?,22.92926,?,59.283272,400,205.003372,25,35.479031
10/06/2021;11:28:12,?,22.923817,?,59.283272,400,205.003372,25,35.479031
10/06/2021;11:28:13,?,22.919519,?,59.281651,400,205.002701,25,35.459408
10/06/2021;11:28:14,?,22.914829,?,59.273811,?,205.024521,?,35.450668
10/06/2021;11:28:15,?,22.914829,?,59.292213,?,205.043167,?,35.455139

RECORDED VALUES : FR_5
Date;Time,CPU.Suction mf.Process_value,CPU.Suc density.Process_value,CPU.Suction temp.Process_value,CPU.Discharge mf.Process_value,CPU.Disch density.Process_value,CPU.Discharge temp.Process_value,CPU.Oil mf.Process_value,CPU.Oil density.Process_value
10/06/2021;11:27:57,2.706433,427.697662,58.827202,2.228122,45.832516,83.288643,0,849.229431
10/06/2021;11:27:58,2.733032,427.699127,58.82412,2.224655,45.76503,83.287872,0,849.249939
10/06/2021;11:27:59,2.747949,427.679749,58.838367,2.229498,45.661133,83.328377,0,849.171631
10/06/2021;11:28:00,2.747949,427.679749,58.838367,2.229498,45.661133,83.328377,0,849.171631
10/06/2021;11:28:01,2.816442,427.667664,58.84779,2.226594,45.690731,83.27951,0,849.145203
10/06/2021;11:28:02,2.811899,427.642883,58.863377,2.213806,45.702873,83.204269,0,849.004333
