REPORT START/STOP
Start Time,01/06/2021,14:12:38
End Time,01/06/2021,14:16:16

Program,R290_pi_4.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
01/06/2021;14:12:38,?,22.655235,?,48.586926,400,401.950684,25,33.434902
01/06/2021;14:12:39,?,22.689814,?,48.628201,400,401.914429,25,33.439934
01/06/2021;14:12:40,?,32.406769,?,48.673721,400,390.807434,25,33.436272
01/06/2021;14:12:41,?,26.793011,?,48.744995,400,392.904541,25,33.430714
01/06/2021;14:12:42,?,26.793011,?,48.818485,400,405.5896,25,33.422497
01/06/2021;14:12:43,?,21.866207,?,48.818485,400,405.5896,25,33.422497
01/06/2021;14:12:44,?,20.584583,?,48.882011,400,407.549133,25,33.420677
01/06/2021;14:12:45,?,19.689896,?,48.895538,400,403.27121,25,33.424744
01/06/2021;14:12:46,?,19.078964,?,48.85194,400,400.618225,25,33.423378
01/06/2021;14:12:47,?,18.217583,?,48.795494,400,399.834503,25,33.433681
01/06/2021;14:12:48,?,17.306482,?,48.725044,400,400.02832,25,33.443882
01/06/2021;14:12:49,?,16.55015,?,48.605354,400,400.288727,25,33.454193
01/06/2021;14:12:50,?,16.011433,?,48.444283,400,400.772247,25,33.467945
01/06/2021;14:12:51,?,15.654074,?,48.253025,400,401.16391,25,33.484436
01/06/2021;14:12:52,?,15.608563,?,48.038799,400,401.313202,25,33.495358
01/06/2021;14:12:53,?,15.498401,?,47.802372,400,401.319275,25,33.501846
01/06/2021;14:12:54,?,15.498401,?,47.593567,400,401.24707,25,33.508018
01/06/2021;14:12:55,?,15.341377,?,47.593567,400,401.24707,25,33.508018
01/06/2021;14:12:56,?,15.221945,?,47.37381,400,400.960754,25,33.511406
01/06/2021;14:12:57,?,15.127888,?,47.123779,400,400.521301,25,33.517693
01/06/2021;14:12:58,?,15.042885,?,46.874332,400,400.245209,25,33.524612
01/06/2021;14:12:59,?,14.856689,?,46.636806,400,399.930817,25,33.528175
01/06/2021;14:13:00,?,14.745069,?,46.358734,400,399.725464,25,33.524132
01/06/2021;14:13:01,?,14.583372,?,46.114521,400,399.596008,25,33.512672
01/06/2021;14:13:02,?,14.403107,?,45.868641,400,399.481049,25,33.509979
01/06/2021;14:13:03,?,14.279002,?,45.61095,400,399.527679,25,33.522625
01/06/2021;14:13:04,?,14.157446,?,45.32616,400,399.475922,25,33.533848
01/06/2021;14:13:05,?,14.106257,?,45.002945,400,399.680237,25,33.527294
01/06/2021;14:13:06,?,14.106257,?,44.702404,400,399.78595,25,33.510235
01/06/2021;14:13:07,?,14.093262,?,44.42141,400,399.798248,25,33.515083
01/06/2021;14:13:08,?,14.10206,?,44.42141,400,399.798248,25,33.515083
01/06/2021;14:13:09,?,14.103352,?,44.140636,400,399.672424,25,33.532154
01/06/2021;14:13:10,?,14.159433,?,43.894855,400,399.558746,25,33.546589
01/06/2021;14:13:11,?,14.225634,?,43.656448,400,399.548187,25,33.564182
01/06/2021;14:13:12,?,14.25352,?,43.410564,400,399.576874,25,33.57991
01/06/2021;14:13:13,?,14.25029,?,43.171391,400,400.662964,25,33.596287
01/06/2021;14:13:14,?,14.189449,?,42.917751,400,401.19043,25,33.608765
01/06/2021;14:13:15,?,14.073218,?,42.68425,400,401.113831,25,33.604794
01/06/2021;14:13:16,?,13.875683,?,42.46859,400,401.107971,25,33.601566
01/06/2021;14:13:17,?,13.78134,?,42.265827,400,400.893066,25,33.602253
01/06/2021;14:13:18,?,13.771712,?,42.067238,400,400.729797,25,33.60709
01/06/2021;14:13:19,?,13.818341,?,41.852295,400,400.745972,25,33.609085
01/06/2021;14:13:20,?,13.818341,?,41.619755,400,400.756317,25,33.610432
01/06/2021;14:13:21,?,13.863354,?,41.424622,400,400.68869,25,33.608086
01/06/2021;14:13:22,?,13.862385,?,41.424622,400,400.68869,25,33.608086
01/06/2021;14:13:23,?,13.845522,?,41.181339,400,400.5737,25,33.608715
01/06/2021;14:13:24,?,13.824548,?,40.98468,400,400.522308,25,33.615112
01/06/2021;14:13:25,?,13.800313,?,40.760933,400,400.424744,25,33.623066
01/06/2021;14:13:26,?,13.754519,?,40.546612,400,400.394348,25,33.635715
01/06/2021;14:13:27,?,13.719563,?,40.306404,400,400.351685,25,33.65057
01/06/2021;14:13:28,?,13.702735,?,40.112583,400,400.363251,25,33.65958
01/06/2021;14:13:29,?,13.695594,?,39.900227,400,400.335358,25,33.668446
01/06/2021;14:13:30,?,13.694753,?,39.715473,400,400.259552,25,33.682041
01/06/2021;14:13:31,?,13.67651,?,39.519772,400,400.24057,25,33.70393
01/06/2021;14:13:32,?,13.653079,?,39.358898,400,400.293182,25,33.711449
01/06/2021;14:13:33,?,13.61851,?,39.213654,400,400.360962,25,33.711025
01/06/2021;14:13:34,?,13.579991,?,39.068756,400,400.41925,25,33.710308
01/06/2021;14:13:35,?,13.555755,?,38.896397,400,400.359619,25,33.703968
01/06/2021;14:13:36,?,13.555755,?,38.896397,400,400.359619,25,33.703968
01/06/2021;14:13:37,?,13.528403,?,38.703587,400,400.336334,25,33.703461
01/06/2021;14:13:38,?,13.495546,?,38.553841,400,400.286957,25,33.705757
01/06/2021;14:13:39,?,13.469603,?,38.401852,400,400.222565,25,33.703197
01/06/2021;14:13:40,?,13.445932,?,38.254978,400,400.21228,25,33.694431
01/06/2021;14:13:41,?,13.419662,?,38.135586,400,400.260773,25,33.688251
01/06/2021;14:13:42,?,13.400591,?,37.977661,400,400.210693,25,33.684216
01/06/2021;14:13:43,?,13.371316,?,37.802242,400,400.055603,25,33.688766
01/06/2021;14:13:44,?,13.336768,?,37.643608,400,400.018188,25,33.698624
