REPORT START/STOP
Start Time,31/05/2021,12:51:50
End Time,31/05/2021,14:14:53

Program,R290_pi_4
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
31/05/2021;12:51:50,?,8.464249,?,19.363092,400,11.03391,25,20.633245
31/05/2021;12:51:51,?,8.46445,?,19.369726,400,11.032338,25,20.637596
31/05/2021;12:51:52,?,8.463317,?,19.369726,400,11.032338,25,20.637596
31/05/2021;12:51:53,?,8.464806,?,19.374958,400,17.876352,25,20.643953
31/05/2021;12:51:54,?,8.463902,?,19.36281,400,49.157104,25,20.645752
31/05/2021;12:51:55,?,8.464725,?,19.368332,400,100.477592,25,20.643337
31/05/2021;12:51:56,?,8.465273,?,19.360975,400,137.54718,25,20.635685
31/05/2021;12:51:57,?,8.464829,?,19.342237,400,160.302979,25,20.626144
31/05/2021;12:51:58,?,8.465512,?,19.335503,400,177.052322,25,20.622681
31/05/2021;12:51:59,?,8.465512,?,19.346205,400,199.219238,25,20.628328
31/05/2021;12:52:00,?,8.464643,?,19.354475,400,218.719635,25,20.629705
31/05/2021;12:52:01,?,8.464767,?,19.34712,400,235.679779,25,20.629049
31/05/2021;12:52:02,?,8.465321,?,19.34712,400,235.679779,25,20.629049
31/05/2021;12:52:03,?,8.464632,?,19.355892,400,254.578094,25,20.623396
31/05/2021;12:52:04,?,8.463606,?,19.350029,400,267.835693,25,20.626797
31/05/2021;12:52:05,?,8.464161,?,19.335537,400,280.318756,25,20.631104
31/05/2021;12:52:06,?,8.463813,?,19.331526,400,290.577576,25,20.643103
31/05/2021;12:52:07,?,8.465487,?,19.334023,400,300.070679,25,20.65062
