REPORT START/STOP
Start Time,08/06/2021,08:16:59
End Time,08/06/2021,10:24:29

Program,R290_pi_5.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
08/06/2021;08:16:59,?,5.116973,?,8.519297,400,399.96637,25,25.210714
08/06/2021;08:17:00,?,5.116973,?,8.509183,400,400.00882,25,25.200478
08/06/2021;08:17:01,?,5.123821,?,8.516249,400,400.000366,25,25.179865
08/06/2021;08:17:02,?,5.105346,?,8.504795,400,399.980164,25,25.157669
08/06/2021;08:17:03,?,5.089583,?,8.500847,400,399.921204,25,25.137594
08/06/2021;08:17:04,?,5.078703,?,8.489577,400,399.884583,25,25.121067
08/06/2021;08:17:05,?,5.0809,?,8.49401,400,399.838928,25,25.097637
08/06/2021;08:17:06,?,5.07344,?,8.495071,400,399.900421,25,25.069046
08/06/2021;08:17:07,?,5.059298,?,8.488358,400,400.054382,25,25.04682
08/06/2021;08:17:08,?,5.046114,?,8.488358,400,400.054382,25,25.04682
08/06/2021;08:17:09,?,5.027256,?,8.469528,400,400.002319,25,25.019764
08/06/2021;08:17:10,?,5.023107,?,8.473475,400,399.936798,25,24.995058
08/06/2021;08:17:11,?,5.022748,?,8.472787,400,399.997772,25,24.975063
08/06/2021;08:17:12,?,5.019491,?,8.465387,400,400.087189,25,24.963104
08/06/2021;08:17:13,?,5.014768,?,8.461433,400,399.992188,25,24.948208
08/06/2021;08:17:14,?,5.025077,?,8.430029,400,399.944977,25,24.921757
08/06/2021;08:17:15,?,5.039825,?,8.395986,400,399.918854,25,24.899748
08/06/2021;08:17:16,?,5.040077,?,8.346787,400,399.910706,25,24.87529
08/06/2021;08:17:17,?,5.048667,?,8.318279,400,399.888031,25,24.853912
08/06/2021;08:17:18,?,5.048667,?,8.295828,400,399.933014,25,24.841648
08/06/2021;08:17:19,?,5.041543,?,8.269924,400,400.001434,25,24.827946
08/06/2021;08:17:20,?,5.030176,?,8.258322,400,400.046967,25,24.816301
08/06/2021;08:17:21,?,5.020728,?,8.248466,400,400.034882,25,24.806011
08/06/2021;08:17:22,?,5.023119,?,8.237965,400,400.022491,25,24.792706
08/06/2021;08:17:23,?,5.037642,?,8.234386,400,400.030823,25,24.77952
08/06/2021;08:17:24,?,5.048177,?,8.238847,400,400.022339,25,24.756128
08/06/2021;08:17:25,?,5.046501,?,8.244955,400,400.0242,25,24.731028
08/06/2021;08:17:26,?,5.050205,?,8.244955,400,400.0242,25,24.731028
08/06/2021;08:17:27,?,5.039765,?,8.234963,400,400.031128,25,24.708891
08/06/2021;08:17:28,?,5.031702,?,8.2195,400,400.013123,25,24.689718
08/06/2021;08:17:29,?,5.029858,?,8.226373,400,400.118164,25,24.674593
08/06/2021;08:17:30,?,5.039784,?,8.236253,400,400.114471,25,24.660589
08/06/2021;08:17:31,?,5.052252,?,8.257716,400,400.153351,25,24.648876
08/06/2021;08:17:32,?,5.04706,?,8.221844,400,400.059998,25,24.634933
08/06/2021;08:17:33,?,5.026364,?,8.1636,400,400.02655,25,24.628485
08/06/2021;08:17:34,?,5.011045,?,8.124304,400,400.027771,25,24.623751
08/06/2021;08:17:35,?,5.010615,?,8.105717,400,399.984711,25,24.610056
08/06/2021;08:17:36,?,5.010615,?,8.116583,400,400.002747,25,24.590796
08/06/2021;08:17:37,?,5.013883,?,8.13155,400,399.939819,25,24.572557
08/06/2021;08:17:38,?,5.03891,?,8.14565,400,399.939819,25,24.563662
08/06/2021;08:17:39,?,5.05291,?,8.158342,400,399.964355,25,24.550274
08/06/2021;08:17:40,?,5.056087,?,8.166096,400,399.954926,25,24.543688
08/06/2021;08:17:41,?,5.04904,?,8.186908,400,399.972015,25,24.53698
08/06/2021;08:17:42,?,5.038231,?,8.221044,400,400.008484,25,24.528198
08/06/2021;08:17:43,?,5.046857,?,8.263553,400,400.075653,25,24.520622
08/06/2021;08:17:44,?,5.062296,?,8.263553,400,400.075653,25,24.520622
08/06/2021;08:17:45,?,5.04281,?,8.304039,400,400.157104,25,24.507479
08/06/2021;08:17:46,?,5.033267,?,8.304039,400,400.157104,25,24.507479
08/06/2021;08:17:47,?,5.02113,?,8.331417,400,400.148987,25,24.502779
08/06/2021;08:17:48,?,5.009804,?,8.316347,400,400.120605,25,24.485531
08/06/2021;08:17:49,?,5.011611,?,8.28208,400,400.032867,25,24.469334
08/06/2021;08:17:50,?,5.003889,?,8.227416,400,400.012421,25,24.462788
08/06/2021;08:17:51,?,4.992833,?,8.152192,400,400.0401,25,24.45491
08/06/2021;08:17:52,?,4.987198,?,8.076757,400,400.037445,25,24.441772
08/06/2021;08:17:53,?,4.974076,?,8.014711,400,400.01355,25,24.419373
08/06/2021;08:17:54,?,4.970879,?,7.985517,400,400.021759,25,24.396202
08/06/2021;08:17:55,?,4.970879,?,7.952024,400,400.009003,25,24.38258
08/06/2021;08:17:56,?,4.980554,?,7.918085,400,399.94516,25,24.369015
08/06/2021;08:17:57,?,4.982499,?,7.874751,400,400.006287,25,24.35251
08/06/2021;08:17:58,?,4.971047,?,7.834376,400,400.039246,25,24.332449
08/06/2021;08:17:59,?,4.958006,?,7.806376,400,400.071198,25,24.308605
08/06/2021;08:18:00,?,4.969648,?,7.806376,400,400.071198,25,24.308605
08/06/2021;08:18:01,?,4.978831,?,7.805397,400,400.073669,25,24.287842
08/06/2021;08:18:02,?,4.972328,?,7.809082,400,400.062469,25,24.287212
08/06/2021;08:18:03,?,4.973128,?,7.788718,400,400.143799,25,24.282423
08/06/2021;08:18:04,?,4.975044,?,7.738486,400,400.190582,25,24.269436
08/06/2021;08:18:05,?,4.969333,?,7.695684,400,400.133636,25,24.256371
08/06/2021;08:18:06,?,4.961768,?,7.6957,400,400.091187,25,24.246054
08/06/2021;08:18:07,?,4.960606,?,7.724254,400,400.139252,25,24.237852
08/06/2021;08:18:08,?,4.966539,?,7.721681,400,400.156128,25,24.229851
08/06/2021;08:18:09,?,4.973279,?,7.764909,400,400.128967,25,24.219955
08/06/2021;08:18:10,?,4.973279,?,7.808681,400,400.147491,25,24.20956
