REPORT START/STOP
Start Time,08/06/2021,10:36:43
End Time,08/06/2021,10:45:46

Program,R290_pi_6
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
08/06/2021;10:36:43,?,20.96154,?,44.382,400,0,25,31.088913
08/06/2021;10:36:44,?,20.955095,?,44.338497,400,0,25,31.105358
08/06/2021;10:36:45,?,20.950459,?,44.338497,400,0,25,31.105358
08/06/2021;10:36:46,?,20.950459,?,44.290424,400,33.742481,25,31.113216
08/06/2021;10:36:47,?,20.94495,?,44.271275,400,280.093903,25,31.109489
08/06/2021;10:36:48,?,20.938959,?,44.211731,400,430.343445,25,31.101246
08/06/2021;10:36:49,?,20.933834,?,44.184906,400,441.493042,25,31.097939
08/06/2021;10:36:50,?,20.928524,?,44.169689,400,406.841583,25,31.095854
08/06/2021;10:36:51,?,20.92157,?,44.155678,400,356.694885,25,31.095362
08/06/2021;10:36:52,?,20.916897,?,44.116943,400,315.566254,25,31.082428
08/06/2021;10:36:53,?,20.910717,?,44.068398,400,315.562164,25,31.08036
08/06/2021;10:36:54,?,20.906717,?,44.005692,400,338.006165,25,31.087444
08/06/2021;10:36:55,?,20.900902,?,43.912659,400,352.824463,25,31.095232
08/06/2021;10:36:56,?,20.894817,?,43.802597,400,356.630554,25,31.100452
08/06/2021;10:36:57,?,20.889771,?,43.734577,400,356.136078,25,31.095213
08/06/2021;10:36:58,?,20.885689,?,43.686317,400,357.218323,25,31.085365
08/06/2021;10:36:59,?,20.880283,?,43.6367,400,361.914948,25,31.077784
08/06/2021;10:37:00,?,20.875216,?,43.600254,400,366.924866,25,31.073734
08/06/2021;10:37:01,?,20.86907,?,43.600254,400,366.924866,25,31.073734
08/06/2021;10:37:02,?,20.86907,?,43.590298,400,370.369415,25,31.06196
08/06/2021;10:37:03,?,20.863791,?,43.581722,400,372.557098,25,31.047703
08/06/2021;10:37:04,?,20.85498,?,43.63139,400,374.921783,25,31.046831
08/06/2021;10:37:05,?,20.85498,?,43.684109,400,377.698578,25,31.046583
08/06/2021;10:37:06,?,20.848709,?,43.740261,400,379.902649,25,31.047089
08/06/2021;10:37:07,?,20.844175,?,43.811321,400,381.641052,25,31.038927
08/06/2021;10:37:08,?,20.838554,?,43.866898,400,383.326019,25,31.021374
08/06/2021;10:37:09,?,20.832659,?,43.925076,400,384.75296,25,31.012926
08/06/2021;10:37:10,?,20.827072,?,43.978569,400,386.213196,25,31.010769
08/06/2021;10:37:11,?,20.823408,?,44.028973,400,387.619629,25,31.006413
08/06/2021;10:37:12,?,20.817696,?,44.056877,400,388.448517,25,30.994419
08/06/2021;10:37:13,?,20.812454,?,44.08704,400,389.408386,25,30.992428
08/06/2021;10:37:14,?,20.807228,?,44.06982,400,390.346741,25,31.001482
08/06/2021;10:37:15,?,20.802153,?,44.06982,400,390.346741,25,31.001482
08/06/2021;10:37:16,?,20.796389,?,44.067623,400,391.802704,25,31.005161
08/06/2021;10:37:17,?,20.790543,?,44.073586,400,392.687256,25,30.99704
08/06/2021;10:37:18,?,20.784555,?,44.083649,400,392.962646,25,30.986835
08/06/2021;10:37:19,?,20.779575,?,44.081467,400,393.414001,25,30.965631
08/06/2021;10:37:20,?,20.773773,?,44.053329,400,394.316437,25,30.949707
08/06/2021;10:37:21,?,20.773773,?,44.002548,400,395.016327,25,30.939322
08/06/2021;10:37:22,?,20.768976,?,43.955193,400,395.252258,25,30.922924
08/06/2021;10:37:23,?,20.762337,?,43.921535,400,395.688019,25,30.904449
08/06/2021;10:37:24,?,20.758163,?,43.898224,400,396.338623,25,30.905624
08/06/2021;10:37:25,?,20.751663,?,43.857147,400,396.695923,25,30.914879
08/06/2021;10:37:26,?,21.973715,?,43.844818,400,395.248779,25,30.925558
08/06/2021;10:37:27,?,33.913136,?,43.852551,400,386.962769,25,30.929367
08/06/2021;10:37:28,?,27.945173,?,43.891502,400,394.512207,25,30.916655
08/06/2021;10:37:29,?,20.714817,?,43.948368,400,403.026642,25,30.904137
08/06/2021;10:37:30,?,19.609175,?,43.996132,400,403.169189,25,30.898266
08/06/2021;10:37:31,?,18.899147,?,43.996132,400,403.169189,25,30.898266
08/06/2021;10:37:32,?,17.970472,?,44.004723,400,399.649109,25,30.88554
08/06/2021;10:37:33,?,17.236458,?,43.9813,400,397.427429,25,30.868736
08/06/2021;10:37:34,?,16.737305,?,43.924294,400,397.002686,25,30.856176
08/06/2021;10:37:35,?,16.493057,?,43.847466,400,398.578247,25,30.84087
08/06/2021;10:37:36,?,16.182882,?,43.787403,400,399.516724,25,30.831863
08/06/2021;10:37:37,?,15.678314,?,43.714302,400,400.000061,25,30.820799
08/06/2021;10:37:38,?,15.081102,?,43.639046,400,400.021576,25,30.825619
08/06/2021;10:37:39,?,15.081102,?,43.518818,400,400.050812,25,30.832304
08/06/2021;10:37:40,?,14.716974,?,43.36087,400,400.132263,25,30.834436
08/06/2021;10:37:41,?,14.586313,?,43.189075,400,400.126923,25,30.825165
08/06/2021;10:37:42,?,14.359045,?,42.987587,400,400.054169,25,30.811726
08/06/2021;10:37:43,?,14.127151,?,42.802879,400,400.036407,25,30.805761
08/06/2021;10:37:44,?,13.979703,?,42.607151,400,399.999481,25,30.811913
08/06/2021;10:37:45,?,13.873451,?,42.380547,400,399.918976,25,30.823895
08/06/2021;10:37:46,?,13.694916,?,42.187008,400,399.827606,25,30.825954
08/06/2021;10:37:47,?,13.434723,?,42.187008,400,399.827606,25,30.825954
08/06/2021;10:37:48,?,13.229102,?,41.91655,400,399.644623,25,30.82382
08/06/2021;10:37:49,?,13.102109,?,41.678902,400,399.604187,25,30.829599
08/06/2021;10:37:50,?,12.972816,?,41.389431,400,399.556488,25,30.834944
08/06/2021;10:37:51,?,12.82265,?,41.056515,400,399.495239,25,30.832039
08/06/2021;10:37:52,?,12.693288,?,40.750717,400,399.396606,25,30.824379
08/06/2021;10:37:53,?,12.578528,?,40.409096,400,399.24884,25,30.817818
08/06/2021;10:37:54,?,12.5254,?,40.036362,400,399.339417,25,30.810341
08/06/2021;10:37:55,?,12.705917,?,39.686733,400,399.305725,25,30.799988
08/06/2021;10:37:56,?,12.705917,?,39.370655,400,399.169556,25,30.797138
08/06/2021;10:37:57,?,12.609639,?,39.08807,400,399.141724,25,30.795017
08/06/2021;10:37:58,?,12.503708,?,38.82296,400,399.224213,25,30.784172
08/06/2021;10:37:59,?,12.420778,?,38.548775,400,399.228699,25,30.77257
08/06/2021;10:38:00,?,12.35278,?,38.295147,400,399.261658,25,30.767866
08/06/2021;10:38:01,?,12.299923,?,38.039146,400,399.286865,25,30.76837
08/06/2021;10:38:02,?,12.242813,?,37.779858,400,399.226624,25,30.779739
08/06/2021;10:38:03,?,12.198016,?,37.535114,400,399.515015,25,30.78812
08/06/2021;10:38:04,?,12.142113,?,37.296856,400,399.69516,25,30.785793
08/06/2021;10:38:05,?,12.085553,?,37.086273,400,399.817871,25,30.78231
08/06/2021;10:38:06,?,12.025551,?,37.086273,400,399.817871,25,30.78231
08/06/2021;10:38:07,?,11.949074,?,36.835682,400,399.785248,25,30.777718
08/06/2021;10:38:08,?,11.870831,?,36.625965,400,399.749878,25,30.773056
08/06/2021;10:38:09,?,11.805415,?,36.436356,400,399.636963,25,30.771919
08/06/2021;10:38:10,?,11.755366,?,36.236488,400,399.603088,25,30.775021
08/06/2021;10:38:11,?,11.704206,?,36.044159,400,399.499664,25,30.777889
08/06/2021;10:38:12,?,11.658583,?,35.872967,400,399.487793,25,30.779329
08/06/2021;10:38:13,?,11.612478,?,35.681019,400,399.47403,25,30.784899
08/06/2021;10:38:14,?,11.579363,?,35.472721,400,399.477325,25,30.79616
08/06/2021;10:38:15,?,11.579363,?,35.272346,400,399.545593,25,30.808186
08/06/2021;10:38:16,?,11.547369,?,35.066696,400,399.448334,25,30.812176
08/06/2021;10:38:17,?,11.549702,?,34.840748,400,399.517883,25,30.817873
08/06/2021;10:38:18,?,11.553831,?,34.610977,400,399.711121,25,30.829958
08/06/2021;10:38:19,?,11.463459,?,34.414177,400,400.604126,25,30.839815
08/06/2021;10:38:20,?,11.407688,?,34.238018,400,401.078674,25,30.860369
08/06/2021;10:38:21,?,11.370294,?,34.033695,400,401.229248,25,30.879807
08/06/2021;10:38:22,?,11.339989,?,34.033695,400,401.229248,25,30.879807
08/06/2021;10:38:23,?,11.320878,?,33.831562,400,401.182556,25,30.89135
08/06/2021;10:38:24,?,11.292885,?,33.641754,400,401.07724,25,30.898626
08/06/2021;10:38:25,?,11.271679,?,33.430977,400,400.845428,25,30.904331
08/06/2021;10:38:26,?,11.256352,?,33.246384,400,400.776581,25,30.913927
08/06/2021;10:38:27,?,11.230025,?,33.053886,400,400.850616,25,30.936066
08/06/2021;10:38:28,?,11.205843,?,32.88789,400,400.929718,25,30.953192
08/06/2021;10:38:29,?,11.180923,?,32.747742,400,400.90979,25,30.947683
08/06/2021;10:38:30,?,11.167306,?,32.610844,400,400.502258,25,30.941273
08/06/2021;10:38:31,?,11.159142,?,32.464729,400,400.195953,25,30.951653
08/06/2021;10:38:32,?,11.153269,?,32.321693,400,400.068756,25,30.964157
08/06/2021;10:38:33,?,11.144165,?,32.172211,400,400.078369,25,30.971767
08/06/2021;10:38:34,?,11.136377,?,32.033607,400,400.18396,25,30.977983
08/06/2021;10:38:35,?,11.134355,?,31.915403,400,400.198853,25,30.982578
08/06/2021;10:38:36,?,11.126589,?,31.798267,400,400.113068,25,30.994595
08/06/2021;10:38:37,?,11.126589,?,31.704729,400,400.034424,25,31.014521
08/06/2021;10:38:38,?,11.114069,?,31.603281,400,400.114197,25,31.036064
08/06/2021;10:38:39,?,11.100569,?,31.603281,400,400.114197,25,31.036064
08/06/2021;10:38:40,?,11.086775,?,31.508759,400,399.952179,25,31.052723
08/06/2021;10:38:41,?,11.07898,?,31.416664,400,399.850311,25,31.065294
08/06/2021;10:38:42,?,11.068978,?,31.320818,400,399.847229,25,31.086571
08/06/2021;10:38:43,?,11.058489,?,31.23213,400,399.917511,25,31.09989
08/06/2021;10:38:44,?,11.052176,?,31.145456,400,400.011688,25,31.111547
