REPORT START/STOP
Start Time,07/01/2021,15:31:46
End Time,07/01/2021,16:38:12

Program,Inbetriebnahme
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
07/01/2021;15:31:46,14.686781,14.575277,14.810644,14.551213,17.678898,22.225313,22.748272
07/01/2021;15:31:47,14.65996,14.575418,14.83224,14.550812,17.641407,22.232718,22.743273
07/01/2021;15:31:48,14.633266,13.820133,14.853733,16.24902,17.593466,22.224075,22.798672
07/01/2021;15:31:49,14.606573,13.307235,14.875227,18.124676,17.545527,22.189562,23.544907
07/01/2021;15:31:50,14.577698,12.681917,14.898478,18.902784,17.504755,21.986565,25.121319
07/01/2021;15:31:51,14.550877,11.970524,14.920074,22.429724,17.467264,21.453869,26.976971
07/01/2021;15:31:52,14.524183,11.179888,14.941566,23.981627,17.419323,20.536175,29.189661
07/01/2021;15:31:53,14.49749,10.48687,14.96306,24.224606,17.376707,19.516661,30.877073
07/01/2021;15:31:54,14.467331,9.884412,14.987343,23.92667,17.339216,18.066927,32.636074
07/01/2021;15:31:55,14.440638,9.229002,15.008837,23.344212,17.296602,16.699667,34.035393
07/01/2021;15:31:56,14.413944,8.698108,15.03033,22.817398,17.248661,15.145615,35.392082
07/01/2021;15:31:57,14.413944,8.698108,15.03033,22.817398,17.248661,15.145615,35.392082
07/01/2021;15:31:58,14.387123,8.126039,15.051927,22.439537,17.16835,12.38109,38.040981
07/01/2021;15:31:59,14.357094,7.72095,15.076107,22.380207,17.16835,12.38109,38.040981
07/01/2021;15:32:00,14.330143,7.451382,15.097807,22.486614,17.115288,11.158949,39.716003
07/01/2021;15:32:01,14.303577,7.258913,15.119197,22.660381,17.077795,10.155542,41.519596
07/01/2021;15:32:02,14.276885,7.123894,15.14069,22.831768,17.035181,9.061914,43.54327
07/01/2021;15:32:03,14.249805,7.009405,15.162494,22.99678,16.987242,7.789899,45.479603
