REPORT START/STOP
Start Time,12/01/2021,14:55:29
End Time,12/01/2021,15:54:18

Program,R32_pi_4.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
12/01/2021;14:55:29,?,17.195847,?,17.30525,?,24.917892,31.119225
12/01/2021;14:55:30,14.678984,17.196396,14.816684,17.303349,17.633541,24.919409,31.105915
12/01/2021;14:55:31,14.645518,17.196136,14.843248,17.301651,17.547619,24.927675,31.089531
12/01/2021;14:55:32,14.611407,17.194885,14.870327,17.302357,17.480427,24.94639,31.076553
12/01/2021;14:55:33,14.577942,17.193993,14.896893,17.301094,17.404053,24.947975,31.06073
12/01/2021;14:55:34,14.544477,17.193321,14.923457,17.30056,17.31813,24.934105,31.054653
12/01/2021;14:55:35,14.506324,17.193134,14.953743,17.299786,17.24139,24.926222,31.034492
12/01/2021;14:55:36,14.472858,17.192043,14.980309,17.298433,17.165014,24.918022,31.013302
12/01/2021;14:55:37,14.439232,17.191534,15.007002,17.298401,17.079096,24.91375,30.982769
12/01/2021;14:55:38,14.405282,17.190863,15.033952,17.297449,17.011534,24.92308,30.956123
12/01/2021;14:55:39,14.371655,17.189032,15.060646,17.29607,17.011534,24.92308,30.956123
12/01/2021;14:55:40,14.338028,17.187452,15.087339,17.294483,16.935158,24.928057,30.936735
12/01/2021;14:55:41,14.300036,17.186199,15.117496,17.294178,16.848871,24.924696,30.915194
12/01/2021;14:55:42,14.300036,17.186199,15.117496,17.294178,16.772495,24.917137,30.91354
12/01/2021;14:55:43,14.262206,17.187132,15.147528,17.293427,16.686577,24.917135,30.899399
12/01/2021;14:55:44,14.22858,17.186356,15.17422,17.291874,16.609098,24.913509,30.903936
12/01/2021;14:55:45,14.190588,17.184258,15.204379,17.28941,16.533459,24.909056,30.910042
12/01/2021;14:55:46,14.156961,17.183395,15.231072,17.289522,16.44754,24.914625,30.913322
12/01/2021;14:55:47,14.123174,17.182962,15.257894,17.28775,16.37043,24.923817,30.910444
12/01/2021;14:55:48,14.089385,17.180613,15.284716,17.286114,16.29369,24.928875,30.909348
12/01/2021;14:55:49,14.051555,17.180174,15.314745,17.28447,16.217682,24.926596,30.892475
12/01/2021;14:55:50,14.017605,17.178329,15.341696,17.283718,16.131027,24.919617,30.884476
12/01/2021;14:55:51,13.983978,17.176441,15.368389,17.282179,16.055021,24.917873,30.876375
12/01/2021;14:55:52,13.950514,17.175617,15.394954,17.280117,15.988194,24.918396,30.870153
12/01/2021;14:55:53,13.916402,17.174738,15.422031,17.278811,15.988194,24.918396,30.870153
12/01/2021;14:55:54,13.882775,17.173624,15.448725,17.277359,15.901539,24.923193,30.87075
12/01/2021;14:55:55,13.84931,17.17428,15.47529,17.275593,15.825163,24.939932,30.871864
12/01/2021;14:55:56,13.81536,17.172098,15.50224,17.275183,15.739243,24.93438,30.867273
12/01/2021;14:55:57,13.781734,17.171434,15.528934,17.273745,15.672049,24.926828,30.856993
12/01/2021;14:55:58,13.781734,17.171434,15.528934,17.273745,15.595675,24.920351,30.849422
12/01/2021;14:55:59,13.744065,17.17029,15.558836,17.272331,15.509752,24.908325,30.829609
12/01/2021;14:56:00,13.714318,17.169188,15.582449,17.270271,15.432644,24.910784,30.814785
12/01/2021;14:56:01,13.676488,17.168325,15.612478,17.269514,15.356638,24.909824,30.807899
12/01/2021;14:56:02,13.643023,17.167412,15.639044,17.266687,15.270718,24.909077,30.799263
12/01/2021;14:56:03,13.609074,17.166159,15.665993,17.266115,15.193607,24.906536,30.794312
12/01/2021;14:56:04,13.571243,17.16375,15.696024,17.263195,15.117233,24.902462,30.805925
12/01/2021;14:56:05,13.537616,17.163227,15.722717,17.262665,15.040861,24.899759,30.802988
12/01/2021;14:56:06,13.503828,17.16222,15.749538,17.261417,14.964119,24.901903,30.796116
12/01/2021;14:56:07,13.470201,17.160934,15.776232,17.259567,14.887743,24.905241,30.789318
12/01/2021;14:56:08,13.436575,17.159914,15.802925,17.258333,14.811371,24.901342,30.78508
12/01/2021;14:56:09,13.402787,17.158337,15.829746,17.255733,14.811371,24.901342,30.78508
12/01/2021;14:56:10,13.36916,17.1577,15.856441,17.254774,14.734629,24.897205,30.770374
12/01/2021;14:56:11,13.335533,17.156649,15.883134,17.253223,14.658255,24.896559,30.759445
12/01/2021;14:56:12,13.297542,17.156261,15.913292,17.251751,14.581881,24.890221,30.734728
12/01/2021;14:56:13,13.263915,17.154985,15.939985,17.25021,14.505138,24.885958,30.716595
12/01/2021;14:56:14,13.263915,17.154985,15.939985,17.25021,14.419218,24.880348,30.724064
12/01/2021;14:56:15,13.226085,17.153158,15.970016,17.248466,14.34211,24.872013,30.712915
12/01/2021;14:56:16,13.192296,17.151991,15.996838,17.246159,14.256189,24.878033,30.700832
12/01/2021;14:56:17,13.158508,16.630146,16.023659,18.139654,14.180183,24.883871,30.705173
12/01/2021;14:56:18,13.120355,14.471657,16.053946,21.730724,14.102707,24.808569,31.018158
12/01/2021;14:56:19,13.08398,13.496077,16.082821,24.924421,14.02009,24.3811,31.796837
12/01/2021;14:56:20,13.050353,13.447119,16.109514,26.17017,13.934536,23.366007,33.168087
12/01/2021;14:56:21,13.016889,12.578057,16.136078,26.145689,13.848616,21.668585,34.838455
12/01/2021;14:56:22,12.982939,11.166743,16.163029,26.92252,13.781054,19.684397,36.107231
12/01/2021;14:56:23,12.949311,9.985056,16.189722,28.712875,13.781054,19.684397,36.107231
12/01/2021;14:56:24,12.915847,9.104248,16.216286,30.27154,13.704679,17.521133,37.428604
12/01/2021;14:56:25,12.881897,8.62652,16.243237,31.045559,13.619125,15.566223,39.008232
12/01/2021;14:56:26,12.844067,8.332731,16.273266,30.791578,13.542385,13.849469,40.899796
12/01/2021;14:56:27,12.810602,8.120177,16.299831,29.744406,13.466011,12.736249,42.807117
12/01/2021;14:56:28,12.776651,7.933711,16.326782,28.527412,13.380089,12.077566,44.939007
12/01/2021;14:56:29,12.776651,7.933711,16.326782,28.527412,13.303349,11.831986,47.136551
12/01/2021;14:56:30,12.743025,7.766894,16.353476,27.803352,13.226974,11.600513,49.231667
