REPORT START/STOP
Start Time,11/01/2021,14:32:59
End Time,11/01/2021,15:43:11

Program,R32 pi 4
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
11/01/2021;14:32:59,14.681295,15.272224,14.819779,15.395977,17.692978,20.644665,51.060383
11/01/2021;14:33:00,14.650845,15.098996,14.85198,15.512735,17.634563,20.646639,51.071465
11/01/2021;14:33:01,14.620686,12.631121,14.883873,18.790289,17.575871,20.646458,51.088165
11/01/2021;14:33:02,14.5869,10.658265,14.9196,22.751522,17.524757,20.622683,51.040833
11/01/2021;14:33:03,14.556595,9.32588,14.951647,24.91086,17.459042,20.235418,50.108185
11/01/2021;14:33:04,14.526435,8.578633,14.98354,25.303761,17.407646,19.245428,48.742519
11/01/2021;14:33:05,14.496275,8.038636,15.015433,26.238981,17.349232,17.799093,47.478138
11/01/2021;14:33:06,14.463505,7.660602,15.050087,27.272848,17.28548,16.240055,46.411392
11/01/2021;14:33:07,14.463505,7.660602,15.050087,27.272848,17.219486,14.822306,45.754654
11/01/2021;14:33:08,14.42943,7.354037,15.08612,27.675629,17.15377,13.862251,45.624893
11/01/2021;14:33:09,14.39927,7.294147,15.118013,27.28339,17.095634,13.25562,45.957001
11/01/2021;14:33:10,14.365339,7.27575,15.153893,27.068914,17.036659,12.905037,46.610012
11/01/2021;14:33:11,14.335035,7.248961,15.18594,27.124178,16.978245,12.781808,47.402637
11/01/2021;14:33:12,14.304874,7.248553,15.217834,27.338211,16.920113,12.839546,48.18055
11/01/2021;14:33:13,14.274714,7.213114,15.249727,27.647615,16.861137,13.011539,48.841152
11/01/2021;14:33:14,14.24064,7.162,15.28576,28.137875,16.802721,13.064964,49.302967
11/01/2021;14:33:15,14.21048,7.100907,15.317654,28.91387,16.802721,13.064964,49.302967
11/01/2021;14:33:16,14.17626,7.043307,15.35384,28.717789,16.744587,12.349804,49.541027
11/01/2021;14:33:17,14.1461,6.994909,15.385734,28.621414,16.67831,10.36177,49.648689
11/01/2021;14:33:18,14.1461,6.994909,15.385734,28.621414,16.612873,7.81157,49.516193
11/01/2021;14:33:19,14.112314,6.930833,15.42146,29.331377,16.547159,5.581194,49.124561
11/01/2021;14:33:20,14.085635,6.874144,15.449674,29.57877,16.495483,3.675658,48.678265
11/01/2021;14:33:21,14.055474,6.809054,15.481567,29.739731,16.437351,2.162589,48.293869
11/01/2021;14:33:22,14.021689,6.734432,15.517294,30.372292,16.364334,0.9571748971939087,48.044437
11/01/2021;14:33:23,13.99124,6.653,15.549494,31.059845,16.312939,-0.02109939232468605,47.993191
11/01/2021;14:33:24,13.96108,6.571416,15.581388,31.004242,16.247223,-0.7955049872398377,48.106216
11/01/2021;14:33:25,13.931065,6.496065,15.613128,31.177256,16.181507,-1.487955,48.250721
11/01/2021;14:33:26,13.893219,6.411496,15.653147,31.638977,16.130112,-2.089526,48.406658
11/01/2021;14:33:27,13.86306,6.33984,15.68504,31.777157,16.071701,-2.61894,48.635815
11/01/2021;14:33:28,13.8329,6.26516,15.716933,31.696018,16.071701,-2.61894,48.635815
11/01/2021;14:33:29,13.802595,6.193801,15.748981,31.808735,15.998681,-3.162902,48.885433
11/01/2021;14:33:30,13.768665,6.104248,15.78486,32.143871,15.947289,-3.6016,49.057365
11/01/2021;14:33:31,13.738504,6.027394,15.816753,32.56488,15.888593,-4.000485,49.20953
11/01/2021;14:33:32,13.738504,6.027394,15.816753,32.56488,15.823156,-4.416822,49.417351
11/01/2021;14:33:33,13.7082,5.95912,15.848801,33.151962,15.771765,-4.776823,49.672962
11/01/2021;14:33:34,13.674271,5.886073,15.88468,33.484665,15.713349,-5.146949,50.029888
11/01/2021;14:33:35,13.64411,5.834103,15.916574,33.406815,15.647633,-5.485134,50.472397
11/01/2021;14:33:36,13.613806,5.793103,15.94862,33.083683,15.596241,-5.764192,50.95668
11/01/2021;14:33:37,13.579875,5.769192,15.9845,32.642834,15.530523,-6.021237,51.469402
11/01/2021;14:33:38,13.549715,5.760464,16.016394,32.376011,15.472109,-6.243204,51.814751
11/01/2021;14:33:39,13.51941,5.750978,16.048439,32.266483,15.413415,-6.452386,51.954384
11/01/2021;14:33:40,13.48925,5.736404,16.080334,32.477814,15.347697,-6.649219,51.872101
11/01/2021;14:33:41,13.454885,5.709658,16.116673,32.760681,15.288441,-6.843153,51.726364
11/01/2021;14:33:42,13.425014,5.665794,16.14826,33.15345,15.230589,-7.016112,51.617706
11/01/2021;14:33:43,13.394855,5.610589,16.180153,33.391975,15.230589,-7.016112,51.617706
11/01/2021;14:33:44,13.36049,5.548641,16.216494,33.635162,15.164872,-7.191298,51.596897
11/01/2021;14:33:45,13.36049,5.548641,16.216494,33.635162,15.105615,-7.363254,51.676945
11/01/2021;14:33:46,13.330475,5.487545,16.248234,33.875061,15.047482,-7.550697,51.837036
