REPORT START/STOP
Start Time,18/01/2021,09:59:56
End Time,18/01/2021,11:51:52

Program,R32 pi 4
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
18/01/2021;09:59:56,14.662493,14.131348,14.820107,14.227008,17.614815,18.574589,18.6479
18/01/2021;09:59:57,14.630322,14.130818,14.837354,14.227379,17.541746,18.576628,18.637331
18/01/2021;09:59:58,14.592169,14.130825,14.857807,14.227123,17.455091,18.57947,18.625597
18/01/2021;09:59:59,14.554338,14.130938,14.878087,14.22743,17.378716,18.579523,18.636257
18/01/2021;10:00:00,14.525077,14.130792,14.893774,14.227543,17.378716,18.579523,18.636257
18/01/2021;10:00:01,14.486923,14.129956,14.914227,14.227427,17.293161,18.571033,18.629702
18/01/2021;10:00:02,14.486923,14.129956,14.914227,14.227427,17.216055,18.568127,18.633383
18/01/2021;10:00:03,14.453297,14.130688,14.932254,14.226801,17.130133,18.57295,18.641161
18/01/2021;10:00:04,14.415627,14.130846,14.952447,14.22728,17.04458,18.565832,18.647263
18/01/2021;10:00:05,14.381679,14.131364,14.970647,14.226719,16.967838,18.54789,18.636665
18/01/2021;10:00:06,14.348051,14.130158,14.988674,14.22645,16.900642,18.54159,18.628935
18/01/2021;10:00:07,14.314586,14.128983,15.006614,14.225888,16.81509,18.544039,18.639181
18/01/2021;10:00:08,14.280637,14.130136,15.024814,14.226089,16.738348,18.54797,18.639261
18/01/2021;10:00:09,14.242968,14.129478,15.045008,14.225807,16.661974,18.551174,18.64106
18/01/2021;10:00:10,14.209342,14.129354,15.063034,14.225493,16.576054,18.558773,18.631796
18/01/2021;10:00:11,14.17135,14.129001,15.083401,14.225605,16.50886,18.567364,18.6217
18/01/2021;10:00:12,14.137723,14.129382,15.101427,14.22644,16.422937,18.569828,18.651651
18/01/2021;10:00:13,14.104096,14.128961,15.119453,14.226908,16.337017,18.569799,18.65753
18/01/2021;10:00:14,14.066105,14.129411,15.13982,14.226242,16.337017,18.569799,18.65753
18/01/2021;10:00:15,14.066105,14.129411,15.13982,14.226242,16.250731,18.571064,18.650272
18/01/2021;10:00:16,14.032478,14.129944,15.157846,14.225904,16.174355,18.568796,18.64797
18/01/2021;10:00:17,13.994648,14.129936,15.178127,14.226252,16.09798,18.55702,18.640961
18/01/2021;10:00:18,13.96086,14.128627,15.196239,14.225959,16.011694,18.549498,18.630604
18/01/2021;10:00:19,13.927072,14.12815,15.214354,14.22631,15.935318,18.56143,18.625198
18/01/2021;10:00:20,13.888919,14.129695,15.234806,14.225891,15.848297,18.569578,18.635162
18/01/2021;10:00:21,13.85125,14.128326,15.255,14.225836,15.772289,18.569983,18.633667
18/01/2021;10:00:22,13.817785,14.127964,15.27294,14.22675,15.696281,18.57268,18.62698
18/01/2021;10:00:23,13.783835,14.128365,15.29114,14.22662,15.619175,18.578299,18.637295
18/01/2021;10:00:24,13.746005,14.128667,15.31142,14.226755,15.619175,18.578299,18.637295
18/01/2021;10:00:25,13.71254,14.128629,15.329361,14.2268,15.533253,18.584518,18.645445
18/01/2021;10:00:26,13.71254,14.128629,15.329361,14.2268,15.457245,18.583807,18.65568
18/01/2021;10:00:27,13.67859,14.128294,15.347561,14.227346,15.380138,18.579302,18.663944
18/01/2021;10:00:28,13.644963,14.128637,15.365587,14.226648,15.294582,18.581224,18.641294
18/01/2021;10:00:29,13.607294,14.128565,15.38578,14.227138,15.208664,18.588974,18.636679
18/01/2021;10:00:30,13.573345,14.127311,15.40398,14.226717,15.131922,18.594948,18.632746
18/01/2021;10:00:31,13.539718,14.128117,15.422007,14.227297,15.055546,18.585276,18.63464
18/01/2021;10:00:32,13.506253,14.128296,15.439947,14.226856,14.969627,18.584736,18.637964
18/01/2021;10:00:33,13.468262,14.128334,15.460314,14.227013,14.892885,18.586069,18.655725
18/01/2021;10:00:34,13.430431,14.129025,15.480594,14.22703,14.816509,18.568201,18.651449
18/01/2021;10:00:35,13.396805,14.127691,15.49862,14.227204,14.730591,18.555271,18.633547
18/01/2021;10:00:36,13.363016,14.129335,15.516733,14.227693,14.663395,18.558075,18.657803
18/01/2021;10:00:37,13.325187,14.12871,15.537014,14.227123,14.587021,18.561632,18.654659
18/01/2021;10:00:38,13.29156,14.128829,15.55504,14.228729,14.587021,18.561632,18.654659
18/01/2021;10:00:39,13.29156,14.128829,15.55504,14.228729,14.491554,18.564425,18.653439
18/01/2021;10:00:40,13.253569,14.129175,15.575407,14.22862,14.424358,18.568993,18.644308
18/01/2021;10:00:41,13.215576,14.12923,15.595774,14.229141,14.338438,18.577402,18.638901
18/01/2021;10:00:42,13.186315,14.129755,15.61146,14.229665,14.262064,18.583305,18.637962
18/01/2021;10:00:43,13.148323,14.12954,15.631826,14.231138,14.175776,18.581074,18.632477
18/01/2021;10:00:44,13.114697,14.130667,15.649854,14.230738,14.099401,18.5707,18.628159
18/01/2021;10:00:45,13.080585,14.131375,15.66814,14.230042,14.021925,18.562534,18.639402
18/01/2021;10:00:46,13.042916,14.130775,15.688334,14.231462,13.946285,18.56723,18.639269
18/01/2021;10:00:47,13.009452,13.538042,15.706274,14.994646,13.860365,18.572613,18.684341
18/01/2021;10:00:48,12.971298,12.555226,15.726727,16.534292,13.783257,18.56073,19.039846
18/01/2021;10:00:49,12.937672,11.511692,15.744754,21.191494,13.706882,18.51367,19.858931
18/01/2021;10:00:50,12.937672,11.511692,15.744754,21.191494,13.630875,18.317516,21.016382
18/01/2021;10:00:51,12.904207,10.360995,15.762693,21.029491,13.630875,18.317516,21.016382
18/01/2021;10:00:52,12.862011,9.201538,15.785314,22.571539,13.543854,17.652134,22.6022
18/01/2021;10:00:53,12.828384,8.476507,15.80334,23.818056,13.467846,16.53442,24.688309
18/01/2021;10:00:54,12.794758,7.81472,15.821367,24.082895,13.372746,14.678991,27.403318
18/01/2021;10:00:55,12.76097,7.361283,15.83948,23.699158,13.305183,12.541289,29.769621
18/01/2021;10:00:56,12.72314,6.955785,15.85976,22.987602,13.228811,10.454632,31.919323
18/01/2021;10:00:57,12.686765,6.675724,15.87926,22.058399,13.152803,8.715034,33.950684
18/01/2021;10:00:58,12.648935,6.559584,15.89954,21.359251,13.06064,7.656854,35.622883
18/01/2021;10:00:59,12.610943,6.415656,15.919907,20.924885,12.983898,6.764868,37.441662
18/01/2021;10:01:00,12.581358,6.286383,15.935766,20.564306,12.897978,5.928636,39.04855
18/01/2021;10:01:01,12.581358,6.286383,15.935766,20.564306,12.812057,4.791297,40.609886
18/01/2021;10:01:02,12.54369,6.162475,15.95596,20.34786,12.812057,4.791297,40.609886
18/01/2021;10:01:03,12.509901,6.054949,15.974073,20.250681,12.735315,3.255255,42.207958
18/01/2021;10:01:04,12.472072,5.997322,15.994353,20.19854,12.658941,1.690084,43.654716
18/01/2021;10:01:05,12.438122,5.927829,16.012554,20.226994,12.573021,0.1227089315652847,44.997314
18/01/2021;10:01:06,12.404656,5.841175,16.030495,20.28125,12.496279,-1.197569,46.192013
18/01/2021;10:01:07,12.366827,5.754723,16.050774,20.367645,12.419905,-2.362646,47.378429
18/01/2021;10:01:08,12.332715,5.685487,16.069059,20.467613,12.323336,-3.508113,48.635246
18/01/2021;10:01:09,12.29925,5.612293,16.087,20.556831,12.237782,-4.404522,49.752129
18/01/2021;10:01:10,12.257378,5.531919,16.109447,20.676271,12.237782,-4.404522,49.752129
18/01/2021;10:01:11,12.223429,5.459635,16.127647,20.76606,12.161776,-5.140388,50.706577
18/01/2021;10:01:12,12.189963,5.37037,16.145588,20.836538,12.084667,-5.793871,51.592007
18/01/2021;10:01:13,12.189963,5.37037,16.145588,20.836538,11.999113,-6.398791,52.471718
18/01/2021;10:01:14,12.156337,5.265237,16.163614,20.889254,11.922739,-6.977723,53.339024
18/01/2021;10:01:15,12.122387,5.174903,16.181814,20.930819,11.836451,-7.544844,54.201141
18/01/2021;10:01:16,12.084719,5.075953,16.202007,20.974667,11.760077,-8.079921,55.020081
18/01/2021;10:01:17,12.051092,4.980778,16.220034,21.022373,11.664608,-8.605802,55.787567
18/01/2021;10:01:18,12.008897,4.893513,16.242653,21.081278,11.597414,-9.083797,56.540543
18/01/2021;10:01:19,11.975269,4.827723,16.260681,21.136763,11.52104,-9.461367,57.248146
18/01/2021;10:01:20,11.941643,4.751956,16.278708,21.196178,11.425571,-9.785046,57.977303
18/01/2021;10:01:21,11.903652,4.668418,16.299074,21.241295,11.425571,-9.785046,57.977303
18/01/2021;10:01:22,11.903652,4.668418,16.299074,21.241295,11.339283,-10.077511,58.866631
18/01/2021;10:01:23,11.865822,4.604673,16.319353,21.285891,11.262911,-10.257149,59.589378
18/01/2021;10:01:24,11.831871,4.558777,16.337553,21.323328,11.185801,-10.409695,60.268044
18/01/2021;10:01:25,11.794042,4.512854,16.357834,21.357555,11.09988,-10.556019,60.969604
18/01/2021;10:01:26,11.756373,4.477421,16.378027,21.383816,11.042967,-10.666228,61.48053
18/01/2021;10:01:27,11.722424,4.44751,16.396227,21.405518,10.955944,-10.799871,62.14893
18/01/2021;10:01:28,11.680552,4.413691,16.418674,21.42671,10.87039,-10.911278,62.859428
18/01/2021;10:01:29,11.646925,4.390464,16.436701,21.437809,10.784838,-11.023439,63.562798
18/01/2021;10:01:30,11.613136,4.371095,16.454813,21.448923,10.707729,-11.104651,64.20491
18/01/2021;10:01:31,11.57951,4.354263,16.472839,21.455153,10.622175,-11.145979,64.835114
18/01/2021;10:01:32,11.57951,4.354263,16.472839,21.455153,10.545801,-11.171442,65.481415
18/01/2021;10:01:33,11.54168,4.337076,16.49312,21.462252,10.545801,-11.171442,65.481415
18/01/2021;10:01:34,11.503689,4.323432,16.513487,21.469698,10.468693,-11.208859,66.143768
18/01/2021;10:01:35,11.465858,4.31364,16.533768,21.474693,10.392685,-11.249285,66.718933
18/01/2021;10:01:36,11.432232,4.303255,16.551794,21.476744,10.297218,-11.287174,67.273949
18/01/2021;10:01:37,11.398443,4.295765,16.569906,21.480412,10.220476,-11.32965,67.725105
18/01/2021;10:01:38,11.360613,4.2867,16.590187,21.482378,10.144102,-11.374603,68.172203
18/01/2021;10:01:39,11.326502,4.280047,16.608473,21.483021,10.048634,-11.4224,68.639061
18/01/2021;10:01:40,11.288834,4.273935,16.628666,21.483204,9.98144,-11.46735,69.079834
18/01/2021;10:01:41,11.255368,4.271121,16.646606,21.482573,9.895519,-11.509406,69.570381
18/01/2021;10:01:42,11.221418,4.268653,16.664806,21.479864,9.819145,-11.550845,70.026672
18/01/2021;10:01:43,11.221418,4.268653,16.664806,21.479864,9.742403,-11.588791,70.460091
18/01/2021;10:01:44,11.183588,4.266528,16.685087,21.477224,9.742403,-11.588791,70.460091
18/01/2021;10:01:45,11.150124,4.264558,16.703026,21.474678,9.656483,-11.627747,70.876938
18/01/2021;10:01:46,11.11197,4.265641,16.72348,21.4713,9.579006,-11.6686,71.315178
18/01/2021;10:01:47,11.074302,4.265259,16.743673,21.465376,9.493454,-11.705529,71.763657
18/01/2021;10:01:48,11.040674,4.264312,16.7617,21.461124,9.417446,-11.734223,72.137589
18/01/2021;10:01:49,11.006886,4.262457,16.779814,21.456175,9.340338,-11.753709,72.470558
18/01/2021;10:01:50,10.97326,4.262208,16.79784,21.448654,9.263964,-11.779215,72.787224
18/01/2021;10:01:51,10.939633,4.261219,16.815866,21.442183,9.17841,-11.810294,73.094948
18/01/2021;10:01:52,10.905845,4.260915,16.833981,21.43358,9.101301,-11.858105,73.443047
18/01/2021;10:01:53,10.868015,4.257519,16.854259,21.427635,9.015747,-11.909779,73.782242
18/01/2021;10:01:54,10.868015,4.257519,16.854259,21.427635,8.929827,-11.967961,74.122116
18/01/2021;10:01:55,10.830185,4.256708,16.87454,21.416246,8.853085,-12.030218,74.526321
18/01/2021;10:01:56,10.796396,4.255789,16.892654,21.405544,8.785891,-12.077164,74.929283
18/01/2021;10:01:57,10.76277,4.252645,16.910681,21.396589,8.785891,-12.077164,74.929283
18/01/2021;10:01:58,10.726557,4.24944,16.930094,21.381838,8.694462,-12.129414,75.316551
18/01/2021;10:01:59,10.69293,4.246541,16.94812,21.367569,8.608541,-12.181282,75.590218
18/01/2021;10:02:00,10.654938,4.241282,16.968487,21.354393,8.540979,-12.233272,75.860428
18/01/2021;10:02:01,10.62115,4.239103,16.986601,21.339222,8.464972,-12.265525,76.114319
18/01/2021;10:02:02,10.587685,4.235724,17.004539,21.323282,8.388599,-12.29159,76.384491
18/01/2021;10:02:03,10.553897,4.232714,17.022654,21.306444,8.302311,-12.332671,76.602921
18/01/2021;10:02:04,10.520269,4.231674,17.04068,21.291622,8.225937,-12.368167,76.830215
18/01/2021;10:02:05,10.486643,4.230474,17.058706,21.27557,8.130468,-12.396184,77.099937
18/01/2021;10:02:06,10.448652,4.226817,17.079073,21.259741,8.063274,-12.400741,77.367226
18/01/2021;10:02:07,10.448652,4.226817,17.079073,21.259741,7.9869,-12.394588,77.651047
18/01/2021;10:02:08,10.415026,4.226008,17.097099,21.233513,7.90098,-12.392052,77.926849
