REPORT START/STOP
Start Time,14/01/2021,13:56:18
End Time,14/01/2021,15:09:47

Program,R32 pi 4
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
14/01/2021;13:56:18,14.692605,16.870607,14.80782,16.854996,17.692699,24.328108,30.030848
14/01/2021;13:56:19,14.662155,16.866257,14.84002,16.849869,17.634563,24.329029,30.055468
14/01/2021;13:56:20,14.624454,15.518212,14.879888,19.938534,17.568569,24.325315,30.13501
14/01/2021;13:56:21,14.59067,15.041966,14.915613,22.967793,17.510151,24.282017,30.793385
14/01/2021;13:56:22,14.56022,14.451573,14.947814,25.596775,17.450897,23.907974,32.091129
14/01/2021;13:56:23,14.530205,13.45609,14.979554,28.661406,17.38546,23.035948,33.884609
14/01/2021;13:56:24,14.500045,12.508883,15.011447,30.11879,17.327328,21.960882,35.955544
14/01/2021;13:56:25,14.469595,11.217096,15.043647,30.02758,17.268353,20.668879,38.225239
14/01/2021;13:56:26,14.469595,11.217096,15.043647,30.02758,17.268353,20.668879,38.225239
14/01/2021;13:56:27,14.439435,9.798677,15.07554,28.310802,17.202633,19.072704,40.768799
14/01/2021;13:56:28,14.40942,8.94381,15.10728,26.879469,17.144501,17.249443,43.359035
14/01/2021;13:56:29,14.375344,8.525477,15.143313,26.348621,17.078224,15.224161,46.250874
14/01/2021;13:56:30,14.345185,8.255243,15.175206,26.448521,17.027111,13.893964,48.661446
14/01/2021;13:56:31,14.315025,7.967745,15.2071,26.684999,16.968975,12.810973,51.317524
14/01/2021;13:56:32,14.284719,7.851992,15.239147,27.003933,16.902699,12.000429,54.124397
14/01/2021;13:56:33,14.25079,7.867629,15.275026,27.423462,16.851585,11.331145,56.333458
14/01/2021;13:56:34,14.2244,7.859946,15.302934,27.799809,16.793453,10.042692,58.694321
14/01/2021;13:56:35,14.191775,7.879448,15.337433,28.206293,16.730263,8.355286,60.787689
14/01/2021;13:56:36,14.161469,7.894602,15.36948,28.588497,16.663986,6.604446,62.681164
14/01/2021;13:56:37,14.13131,7.916783,15.401373,28.985819,16.605854,5.277775,64.222122
14/01/2021;13:56:38,14.10115,7.904945,15.433267,29.359365,16.540138,4.122431,65.72139
14/01/2021;13:56:39,14.070845,7.870854,15.465314,29.697269,16.488462,3.276913,66.99897
14/01/2021;13:56:40,14.036915,7.831717,15.501193,30.061831,16.43005,2.64075,68.221809
14/01/2021;13:56:41,14.036915,7.831717,15.501193,30.061831,16.364613,2.187573,69.238113
14/01/2021;13:56:42,14.006755,7.773758,15.533087,30.409956,16.312939,1.783659,70.258888
14/01/2021;13:56:43,13.97645,7.70714,15.565134,30.710442,16.312939,1.783659,70.258888
14/01/2021;13:56:44,13.94629,7.655831,15.597027,31.029867,16.247505,1.412007,71.265465
14/01/2021;13:56:45,13.91613,7.620376,15.628921,31.371206,16.189091,1.088553,72.130676
