REPORT START/STOP
Start Time,14/01/2021,12:01:10
End Time,14/01/2021,13:07:49

Program,R32_pi_5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
14/01/2021;12:01:10,14.685912,16.509478,14.806847,16.646147,?,21.461349,71.531639
14/01/2021;12:01:11,14.644181,16.510139,14.827127,16.647854,17.650866,21.526411,71.331711
14/01/2021;12:01:12,14.611903,16.510185,14.842813,16.647528,17.566162,21.560852,71.155235
14/01/2021;12:01:13,14.611903,16.510185,14.842813,16.647528,17.456188,21.568356,71.009338
14/01/2021;12:01:14,14.574275,16.510038,14.8611,16.648985,17.357918,21.547407,70.9011
14/01/2021;12:01:15,14.532723,16.508854,14.881294,16.647038,17.261047,21.526958,70.781967
14/01/2021;12:01:16,14.500266,16.510208,14.897067,16.649542,17.15201,21.508602,70.659088
14/01/2021;12:01:17,14.462817,16.510372,14.915267,16.649601,17.05374,21.493595,70.550552
14/01/2021;12:01:18,14.426081,16.511322,14.933121,16.650326,16.956402,21.464449,70.466454
14/01/2021;12:01:19,14.388987,16.511284,14.951147,16.650036,16.859531,21.434711,70.413445
14/01/2021;12:01:20,14.351358,16.511642,14.969433,16.651375,16.749092,21.409191,70.36496
14/01/2021;12:01:21,14.309807,16.512234,14.989627,16.651222,16.652224,21.404955,70.32386
14/01/2021;12:01:22,14.272892,16.513533,15.007566,16.652245,16.542721,21.416622,70.295502
14/01/2021;12:01:23,14.235442,16.513435,15.025766,16.65173,16.456614,21.427935,70.261993
14/01/2021;12:01:24,14.198348,16.514601,15.043794,16.653595,16.456614,21.427935,70.261993
14/01/2021;12:01:25,14.158045,16.514534,15.06338,16.653341,16.35132,21.441511,70.232796
14/01/2021;12:01:26,14.12113,16.515713,15.08132,16.654655,16.253983,21.466339,70.174065
14/01/2021;12:01:27,14.08368,16.51545,15.09952,16.655563,16.132313,21.50531,70.081841
14/01/2021;12:01:28,14.046586,16.515928,15.117547,16.655798,16.046673,21.537594,70.005394
14/01/2021;12:01:29,14.009671,16.51622,15.135487,16.655804,15.949339,21.563076,69.953293
14/01/2021;12:01:30,14.009671,16.51622,15.135487,16.655804,15.839832,21.583286,69.932373
14/01/2021;12:01:31,13.967585,16.517496,15.155941,16.657612,15.742027,21.590704,69.831924
14/01/2021;12:01:32,13.926033,16.517904,15.176134,16.658197,15.644691,21.599974,69.709641
14/01/2021;12:01:33,13.888941,16.518368,15.19416,16.658905,15.535187,21.604397,69.591728
14/01/2021;12:01:34,13.851668,16.520061,15.212274,16.659468,15.449547,21.609348,69.458649
14/01/2021;12:01:35,13.814574,16.520512,15.230301,16.660398,15.340046,21.614908,69.346809
14/01/2021;12:01:36,13.777482,16.520754,15.248327,16.661154,15.242706,21.64188,69.287544
14/01/2021;12:01:37,13.735573,16.521231,15.268694,16.662769,15.144903,21.665419,69.257317
14/01/2021;12:01:38,13.698481,16.521711,15.28672,16.663017,15.047565,21.673113,69.237289
14/01/2021;12:01:39,13.661386,16.522722,15.304747,16.664001,15.047565,21.673113,69.237289
14/01/2021;12:01:40,13.624115,16.523928,15.322861,16.664248,14.950228,21.687534,69.192299
14/01/2021;12:01:41,13.587022,16.524988,15.340887,16.664871,14.852425,21.711456,69.153572
14/01/2021;12:01:42,13.549929,16.524605,15.358913,16.664928,14.74292,21.740164,69.125381
14/01/2021;12:01:43,13.549929,16.524605,15.358913,16.664928,14.644178,21.756655,69.092606
14/01/2021;12:01:44,13.498747,16.525253,15.383787,16.666197,14.559946,21.765789,69.047729
14/01/2021;12:01:45,13.461654,16.525686,15.401814,16.667034,14.450439,21.763126,69.000938
14/01/2021;12:01:46,13.424026,16.526976,15.4201,16.667503,14.3517,21.765741,68.952553
14/01/2021;12:01:47,13.387289,16.527279,15.437954,16.666868,14.255299,21.781858,68.896889
14/01/2021;12:01:48,13.345558,16.526217,15.458234,16.667927,14.157961,21.798071,68.805679
14/01/2021;12:01:49,13.30793,16.528173,15.476521,16.668079,14.047052,21.807692,68.720955
14/01/2021;12:01:50,13.271015,16.528461,15.49446,16.669956,13.938015,21.821629,68.647385
14/01/2021;12:01:51,13.234099,16.269032,15.5124,17.40193,13.841146,21.834351,68.573128
14/01/2021;12:01:52,13.192014,14.515098,15.532854,22.802475,13.841146,21.834351,68.573128
14/01/2021;12:01:53,13.150461,13.38814,15.553047,27.75458,13.730707,21.80427,68.405769
14/01/2021;12:01:54,13.113368,12.255194,15.571074,30.385433,13.633837,21.348221,67.146294
14/01/2021;12:01:55,13.113368,12.255194,15.571074,30.385433,13.512167,19.924685,63.925499
14/01/2021;12:01:56,13.075918,11.360467,15.589273,30.412508,13.438229,18.323536,60.917969
14/01/2021;12:01:57,13.034367,10.897299,15.609467,29.546783,13.329193,16.845428,58.278698
14/01/2021;12:01:58,12.997273,10.593396,15.627494,29.015732,13.219688,15.598163,56.580994
14/01/2021;12:01:59,12.960002,10.083667,15.645607,30.139584,13.121883,14.469188,55.275757
14/01/2021;12:02:00,12.927545,9.620469,15.661381,30.592663,13.024546,13.502936,54.223259
14/01/2021;12:02:01,12.890451,9.28535,15.679407,30.372713,12.915041,12.531413,53.641636
14/01/2021;12:02:02,12.853002,9.089908,15.697607,30.162678,12.829405,11.453245,53.74968
14/01/2021;12:02:03,12.816087,8.896977,15.715548,30.020367,12.719898,10.266108,54.548832
14/01/2021;12:02:04,12.778994,8.769029,15.733574,29.983236,12.610395,9.128212,55.671421
14/01/2021;12:02:05,12.737085,8.650106,15.753941,30.02953,12.524757,7.988397,57.100037
14/01/2021;12:02:06,12.699992,8.53983,15.771967,30.101299,12.42742,7.046484,58.422173
14/01/2021;12:02:07,12.658262,8.419985,15.792247,30.212555,12.42742,7.046484,58.422173
14/01/2021;12:02:08,12.625627,8.332253,15.808107,30.343193,12.317915,6.172781,59.632294
14/01/2021;12:02:09,12.583897,8.244122,15.828386,30.485197,12.22011,5.462969,60.55835
14/01/2021;12:02:10,12.546803,8.162431,15.846414,30.599323,12.110607,4.776346,61.316872
14/01/2021;12:02:11,12.504895,8.077822,15.86678,30.729389,12.012333,4.176871,61.863506
14/01/2021;12:02:12,12.504895,8.077822,15.86678,30.729389,11.915464,3.648729,62.304447
14/01/2021;12:02:13,12.467801,8.003502,15.884808,30.860752,11.818127,3.183416,62.640736
14/01/2021;12:02:14,12.426071,7.929883,15.905087,30.983418,11.70722,2.718059,62.939621
