REPORT START/STOP
Start Time,25/01/2021,11:25:33
End Time,25/01/2021,13:38:31

Program,R410A_diverse
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
25/01/2021;11:25:33,11.999133,23.815882,20.004333,23.82415,23,37.915554,38.189957
25/01/2021;11:25:34,11.992267,23.813456,20.038666,23.822111,22.977438,37.909676,38.197338
25/01/2021;11:25:35,11.9853,23.811001,20.073498,23.81912,22.957113,37.904522,38.191387
25/01/2021;11:25:36,11.978333,23.808392,20.108334,23.816608,22.936787,37.904194,38.184326
25/01/2021;11:25:37,11.970533,23.80578,20.147333,23.814243,22.914032,37.890682,38.181076
25/01/2021;11:25:38,11.962767,23.8032,20.186165,23.810863,22.893803,37.869865,38.156502
25/01/2021;11:25:39,11.955767,23.800339,20.221167,23.808622,22.870949,37.864246,38.148594
25/01/2021;11:25:40,11.948833,23.797192,20.255833,23.805933,22.870949,37.864246,38.148594
25/01/2021;11:25:41,11.948833,23.797192,20.255833,23.805933,22.850721,37.870674,38.146347
25/01/2021;11:25:42,11.941067,23.794729,20.294666,23.803213,22.825535,37.881119,38.118088
25/01/2021;11:25:43,11.934067,23.792543,20.329666,23.801025,22.810169,37.877281,38.087254
25/01/2021;11:25:44,11.9263,23.789782,20.3685,23.799252,22.78751,37.875202,38.082199
25/01/2021;11:25:45,11.919367,23.786608,20.403166,23.795452,22.762224,37.86591,38.102509
25/01/2021;11:25:46,11.911533,23.78392,20.442333,23.793507,22.741899,37.854427,38.111519
25/01/2021;11:25:47,11.903733,23.780312,20.481333,23.789268,22.72167,37.847729,38.109737
25/01/2021;11:25:48,11.8968,23.778584,20.515999,23.7878,22.698914,37.842617,38.102509
25/01/2021;11:25:49,11.889833,23.776426,20.550833,23.785631,22.678589,37.836231,38.103886
25/01/2021;11:25:50,11.882033,23.773422,20.589832,23.783459,22.678589,37.836231,38.103886
