REPORT START/STOP
Start Time,22/01/2021,13:21:09
End Time,22/01/2021,14:34:26

Program,R410A_pi_6.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
22/01/2021;13:21:09,11.996667,23.815052,18.003334,23.836628,16.930588,30.745672,42.355072
22/01/2021;13:21:10,11.9656,23.812527,18.034401,23.834494,16.930588,30.745672,42.355072
22/01/2021;13:21:11,11.9376,22.038553,18.062401,26.433445,16.825115,30.735231,42.368649
22/01/2021;13:21:12,11.9064,20.215546,18.093601,34.490578,16.730911,30.734364,42.57262
22/01/2021;13:21:13,11.882267,18.777912,18.117733,39.037949,16.637157,30.664871,43.095226
22/01/2021;13:21:14,11.8508,16.38983,18.1492,37.577583,16.518616,30.307358,43.763309
22/01/2021;13:21:15,11.823067,14.678598,18.176933,38.339069,16.424862,29.881241,44.654922
22/01/2021;13:21:16,11.795334,14.475616,18.204666,39.981697,16.331562,29.313038,46.245724
22/01/2021;13:21:17,11.760533,14.75433,18.239468,40.336166,16.202202,27.854883,49.283844
22/01/2021;13:21:18,11.760533,14.75433,18.239468,40.336166,16.202202,27.854883,49.283844
22/01/2021;13:21:19,11.7328,13.674614,18.2672,39.8176,16.108448,26.054356,51.961353
22/01/2021;13:21:20,11.701467,12.142961,18.298534,38.447105,16.002975,23.587698,55.001255
22/01/2021;13:21:21,11.673734,10.252029,18.326267,37.118229,15.920491,21.294214,57.776455
22/01/2021;13:21:22,11.642534,8.699061,18.357466,36.578075,15.815022,19.324804,60.573055
22/01/2021;13:21:23,11.612534,7.851966,18.387466,36.648979,15.721269,17.828211,63.401344
22/01/2021;13:21:24,11.5844,7.43295,18.4156,36.797665,15.608134,16.937138,66.160217
22/01/2021;13:21:25,11.553333,7.207997,18.446667,36.94278,15.513932,16.541115,68.497025
22/01/2021;13:21:26,11.525734,7.041608,18.474266,37.100513,15.419728,16.357933,70.916321
22/01/2021;13:21:27,11.497734,6.921135,18.502266,37.278091,15.326427,16.28326,73.192451
22/01/2021;13:21:28,11.47,6.840587,18.529999,37.457294,15.220504,16.222837,75.3442
22/01/2021;13:21:29,11.47,6.840587,18.529999,37.457294,15.220504,16.222837,75.3442
22/01/2021;13:21:30,11.432001,6.781676,18.567999,37.714489,15.115031,16.097084,77.450485
22/01/2021;13:21:31,11.400667,6.743416,18.599333,37.92865,15.031648,15.894476,79.146912
22/01/2021;13:21:32,11.372932,6.710362,18.627068,38.127476,14.926625,15.569672,80.874809
