REPORT START/STOP
Start Time,19/01/2021,15:29:46
End Time,19/01/2021,17:42:24

Program,R410A_pi_6
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
19/01/2021;15:29:46,?,27.96043,?,27.983269,?,44.30991,44.862186
19/01/2021;15:29:47,11.975866,27.957258,18.018101,27.979778,16.906696,44.321564,44.843746
19/01/2021;15:29:48,11.948,27.953667,18.039001,27.976192,16.824211,44.33107,44.833599
19/01/2021;15:29:49,11.920267,27.95142,18.059799,27.972733,16.730461,44.335335,44.826267
19/01/2021;15:29:50,11.892534,27.94717,18.080601,27.969797,16.624989,44.333092,44.817417
19/01/2021;15:29:51,11.8612,27.94265,18.104099,27.966541,16.553772,44.329136,44.825798
19/01/2021;15:29:52,11.833467,27.939854,18.124901,27.963444,16.448753,44.325916,44.819778
19/01/2021;15:29:53,11.802267,27.936222,18.1483,27.959576,16.343281,44.331455,44.791683
19/01/2021;15:29:54,11.774401,27.932667,18.169201,27.955952,16.249077,44.326511,44.786812
19/01/2021;15:29:55,11.7432,27.929861,18.1926,27.95223,16.155323,44.316654,44.781231
19/01/2021;15:29:56,11.7432,27.929861,18.1926,27.95223,16.04985,44.311241,44.765278
19/01/2021;15:29:57,11.715334,27.925631,18.213501,27.948648,16.04985,44.311241,44.765278
19/01/2021;15:29:58,11.6876,27.922026,18.234301,27.94623,15.96737,44.306416,44.769684
19/01/2021;15:29:59,11.659866,27.91951,18.2551,27.941864,15.861897,44.298134,44.770027
19/01/2021;15:30:00,11.628267,27.91407,18.278801,27.937712,15.756425,44.289925,44.761131
19/01/2021;15:30:01,11.593734,27.910118,18.304699,27.933384,15.662223,44.286819,44.741501
19/01/2021;15:30:02,11.566133,27.90675,18.325399,27.930241,15.55675,44.284267,44.7481
19/01/2021;15:30:03,11.534666,27.902384,18.349001,27.926943,15.461646,44.278271,44.751564
19/01/2021;15:30:04,11.507067,27.899584,18.369699,27.923185,15.356624,44.268696,44.738976
19/01/2021;15:30:05,11.507067,27.899584,18.369699,27.923185,15.263322,44.274078,44.747822
19/01/2021;15:30:06,11.479334,27.896084,18.390499,27.920517,15.16867,44.276051,44.767895
19/01/2021;15:30:07,11.448,27.891968,18.414001,27.915436,15.16867,44.276051,44.767895
19/01/2021;15:30:08,11.4168,27.889389,18.437401,27.912895,15.063199,44.274124,44.772808
19/01/2021;15:30:09,11.392534,27.885548,18.455601,27.910063,14.969897,44.274403,44.761013
19/01/2021;15:30:10,11.3612,27.881393,18.479099,27.906254,14.863523,44.268127,44.746387
19/01/2021;15:30:11,11.333467,27.878368,18.499901,27.902851,14.770223,44.257511,44.700882
19/01/2021;15:30:12,11.303467,27.875256,18.5224,27.899256,14.676469,44.249702,44.697216
19/01/2021;15:30:13,11.2756,27.871212,18.543301,27.895826,14.562882,44.248669,44.700626
19/01/2021;15:30:14,11.247734,27.868059,18.564199,27.892704,14.480399,44.247536,44.674049
19/01/2021;15:30:15,11.22,27.865475,18.584999,27.890051,14.374928,44.236057,44.663044
19/01/2021;15:30:16,11.1888,27.861671,18.6084,27.886721,14.269456,44.226593,44.656509
19/01/2021;15:30:17,11.160933,27.858532,18.629299,27.883429,14.186973,44.216663,44.634567
19/01/2021;15:30:18,11.160933,27.858532,18.629299,27.883429,14.093221,44.208553,44.615112
19/01/2021;15:30:19,11.129733,27.85516,18.6527,27.880556,14.093221,44.208553,44.615112
19/01/2021;15:30:20,11.0948,27.850937,18.6789,27.876015,13.976027,44.194527,44.594051
19/01/2021;15:30:21,11.063734,27.845722,18.7022,27.870062,13.893546,44.189278,44.588604
19/01/2021;15:30:22,11.036,27.839317,18.723,27.864346,13.788074,44.191864,44.586815
19/01/2021;15:30:23,11.007999,27.831509,18.743999,27.856508,13.69432,44.187874,44.595104
19/01/2021;15:30:24,10.9804,27.822433,18.7647,27.847025,13.588399,44.178146,44.592266
19/01/2021;15:30:25,10.9492,27.809786,18.788101,27.833767,13.494645,44.170437,44.573338
19/01/2021;15:30:26,10.921333,27.796907,18.809,27.820055,13.387822,44.160091,44.542019
19/01/2021;15:30:27,10.921333,27.796907,18.809,27.820055,13.294518,44.149632,44.518173
19/01/2021;15:30:28,10.8936,27.780787,18.8298,27.805017,13.1895,44.133694,44.509117
19/01/2021;15:30:29,10.858933,27.759878,18.855801,27.783447,13.094844,44.129154,44.495659
19/01/2021;15:30:30,10.831067,27.735981,18.876699,27.757792,13.094844,44.129154,44.495659
19/01/2021;15:30:31,10.799734,27.704105,18.9002,27.726982,12.989373,44.122223,44.481995
19/01/2021;15:30:32,10.772133,27.671974,18.9209,27.694096,12.884353,44.116364,44.46991
19/01/2021;15:30:33,10.744267,27.636745,18.941799,27.656631,12.790151,44.095909,44.462051
19/01/2021;15:30:34,10.713067,27.595316,18.9652,27.616636,12.696397,44.070686,44.433655
19/01/2021;15:30:35,10.684934,27.547972,18.9863,27.569336,12.579207,44.044655,44.420918
19/01/2021;15:30:36,10.653867,27.504292,19.0096,27.525192,12.496722,44.008118,44.398521
19/01/2021;15:30:37,10.653867,27.504292,19.0096,27.525192,12.40297,43.973656,44.365665
19/01/2021;15:30:38,10.6228,27.245403,19.0329,27.80941,12.285779,43.927238,44.367603
19/01/2021;15:30:39,10.5948,23.725872,19.0539,33.369682,12.203294,43.853024,45.102406
19/01/2021;15:30:40,10.567066,20.80335,19.074699,37.02198,12.097823,43.417225,47.003502
19/01/2021;15:30:41,10.536,17.93055,19.098,39.589607,12.097823,43.417225,47.003502
19/01/2021;15:30:42,10.508,15.560232,19.118999,40.136066,12.004071,42.284103,49.270859
19/01/2021;15:30:43,10.4804,14.37817,19.1397,40.485199,11.898149,40.585014,51.716881
19/01/2021;15:30:44,10.4492,14.949029,19.163101,40.03812,11.804397,38.831406,54.030609
19/01/2021;15:30:45,10.421333,15.329779,19.184,39.362206,11.709291,37.202152,56.438553
19/01/2021;15:30:46,10.3936,14.468942,19.2048,38.891186,11.616441,35.487385,58.921215
19/01/2021;15:30:47,10.365867,13.292515,19.225601,38.744843,11.510968,32.843143,61.874756
19/01/2021;15:30:48,10.334534,12.175284,19.2491,38.715355,11.416314,30.200665,64.507195
19/01/2021;15:30:49,10.306801,11.435143,19.269899,38.753197,11.322562,27.975727,67.072205
19/01/2021;15:30:50,10.306801,11.435143,19.269899,38.753197,11.21754,26.046862,69.736313
19/01/2021;15:30:51,10.279066,10.98701,19.290699,38.800255,11.111169,24.422203,72.081573
19/01/2021;15:30:52,10.247733,10.616036,19.314201,38.852367,11.017865,22.969599,74.095757
19/01/2021;15:30:53,10.22,10.345195,19.334999,38.886307,11.017865,22.969599,74.095757
19/01/2021;15:30:54,10.188801,10.09007,19.3584,38.904133,10.912395,21.285496,76.074196
19/01/2021;15:30:55,10.160933,9.870548,19.379299,38.90667,10.829459,19.7983,77.584
19/01/2021;15:30:56,10.1332,9.649196,19.400101,38.894417,10.724439,18.058237,79.351334
19/01/2021;15:30:57,10.105467,9.431104,19.4209,38.85976,10.618966,16.625185,80.789673
19/01/2021;15:30:58,10.070534,9.183973,19.4471,38.795097,10.524764,15.224861,82.264061
19/01/2021;15:30:59,10.042933,8.972328,19.4678,38.719517,10.431012,14.184055,83.553452
19/01/2021;15:31:00,10.014934,8.762606,19.4888,38.621838,10.32554,13.30421,84.8209
19/01/2021;15:31:01,10.014934,8.762606,19.4888,38.621838,10.231336,12.691954,85.961105
19/01/2021;15:31:02,9.983734,8.556458,19.512199,38.50433,10.137584,12.250924,87.111061
19/01/2021;15:31:03,9.956133,8.386471,19.5329,38.391865,10.032113,11.98916,88.16391
19/01/2021;15:31:04,9.928,8.229147,19.554001,38.267281,9.92619,11.837146,89.247261
19/01/2021;15:31:05,9.897066,8.088853,19.5772,38.136497,9.92619,11.837146,89.247261
19/01/2021;15:31:06,9.869333,7.972455,19.598,38.007736,9.832438,11.771809,90.275703
19/01/2021;15:31:07,9.841333,7.891363,19.618999,37.901043,9.737332,11.768317,91.18087
19/01/2021;15:31:08,9.806801,7.813419,19.644899,37.795128,9.644483,11.806213,92.109245
19/01/2021;15:31:09,9.782534,7.761558,19.663101,37.724472,9.53901,11.875369,93.06694
19/01/2021;15:31:10,9.7512,7.70846,19.6866,37.648926,9.432187,11.932448,93.950912
19/01/2021;15:31:11,9.723467,7.663611,19.707399,37.58667,9.338885,11.976638,94.72747
19/01/2021;15:31:12,9.6936,7.624599,19.729801,37.530354,9.245582,12.023974,95.448898
19/01/2021;15:31:13,9.669333,7.595633,19.748001,37.4809,9.144618,12.069675,96.167191
19/01/2021;15:31:14,9.641334,7.569043,19.769001,37.432808,9.037795,12.084575,96.854141
19/01/2021;15:31:15,9.641334,7.569043,19.769001,37.432808,8.932773,12.084281,97.461922
19/01/2021;15:31:16,9.610267,7.539167,19.792301,37.383587,8.932773,12.084281,97.461922
19/01/2021;15:31:17,9.582533,7.507586,19.813099,37.3358,8.827754,12.080073,98.027809
19/01/2021;15:31:18,9.551066,7.476241,19.8367,37.285511,8.744819,12.066735,98.596207
19/01/2021;15:31:19,9.523334,7.453551,19.8575,37.23867,8.651065,12.03361,99.09668
19/01/2021;15:31:20,9.4956,7.432,19.8783,37.191872,8.533875,11.974574,99.616058
19/01/2021;15:31:21,9.4572,7.404603,19.907101,37.137383,8.45139,11.910964,100.008987
19/01/2021;15:31:22,9.426133,7.390085,19.930401,37.092411,8.34592,11.844476,100.427147
19/01/2021;15:31:23,9.426133,7.390085,19.930401,37.092411,8.240447,11.775648,100.844719
19/01/2021;15:31:24,9.398001,7.376307,19.9515,37.051682,8.157962,11.717493,101.23484
19/01/2021;15:31:25,9.367067,7.357591,19.974701,37.010963,8.040772,11.645474,101.683067
19/01/2021;15:31:26,9.339334,7.344069,19.995501,36.972214,7.946118,11.579146,102.081345
19/01/2021;15:31:27,9.308001,7.331946,20.019001,36.937634,7.946118,11.579146,102.081345
19/01/2021;15:31:28,9.280267,7.314119,20.039801,36.899719,7.852817,11.50802,102.461205
19/01/2021;15:31:29,9.252533,7.297825,20.0606,36.862537,7.759065,11.431017,102.794464
19/01/2021;15:31:30,9.2212,7.277844,20.084101,36.821529,7.663959,11.362017,103.119736
19/01/2021;15:31:31,9.193334,7.259765,20.105,36.780945,7.571109,11.30201,103.447395
19/01/2021;15:31:32,9.162268,7.245677,20.1283,36.73473,7.465636,11.229977,103.776619
19/01/2021;15:31:33,9.134399,7.23128,20.1492,36.691574,7.370982,11.168404,104.064682
19/01/2021;15:31:34,9.106667,7.2172,20.17,36.653778,7.265512,11.117659,104.312447
19/01/2021;15:31:35,9.078934,7.202376,20.1908,36.618828,7.137052,11.04556,104.601563
19/01/2021;15:31:36,9.078934,7.202376,20.1908,36.618828,7.137052,11.04556,104.601563
19/01/2021;15:31:37,9.051066,7.188176,20.2117,36.598351,7.04285,10.992185,104.772324
19/01/2021;15:31:38,9.019867,7.174579,20.2351,36.588188,6.948646,10.942931,104.903633
19/01/2021;15:31:39,8.9956,7.165665,20.2533,36.581306,6.843625,10.890178,105.041588
19/01/2021;15:31:40,8.964267,7.156297,20.2768,36.57399,6.76114,10.847323,105.21051
19/01/2021;15:31:41,8.933067,7.148622,20.3002,36.567814,6.655217,10.815665,105.348129
19/01/2021;15:31:42,8.904934,7.146958,20.321301,36.56002,6.550199,10.799044,105.480736
19/01/2021;15:31:43,8.877466,7.148653,20.3419,36.553852,6.467713,10.786106,105.673233
19/01/2021;15:31:44,8.846267,7.150226,20.365299,36.545479,6.373961,10.776928,105.875214
19/01/2021;15:31:45,8.818267,7.150501,20.386299,36.537376,6.268489,10.773261,106.097183
19/01/2021;15:31:46,8.790533,7.149765,20.407101,36.531693,6.174287,10.765483,106.339767
19/01/2021;15:31:47,8.762934,7.152545,20.427799,36.52486,6.068814,10.76204,106.564415
19/01/2021;15:31:48,8.762934,7.152545,20.427799,36.52486,5.97371,10.766263,106.789497
19/01/2021;15:31:49,8.731466,7.152959,20.451401,36.518524,5.97371,10.766263,106.789497
19/01/2021;15:31:50,8.703733,7.150757,20.4722,36.513264,5.86869,10.778259,106.948395
19/01/2021;15:31:51,8.672667,7.146537,20.495501,36.506203,5.775387,10.797002,107.09285
19/01/2021;15:31:52,8.644667,7.144658,20.5165,36.496498,5.680733,10.817162,107.272362
19/01/2021;15:31:53,8.617067,7.148706,20.537201,36.489124,5.586981,10.832957,107.468254
19/01/2021;15:31:54,8.585867,7.156017,20.5606,36.482407,5.481959,10.862968,107.6744
19/01/2021;15:31:55,8.558001,7.161333,20.581501,36.474556,5.387305,10.890182,107.808189
19/01/2021;15:31:56,8.530267,7.164501,20.602301,36.465069,5.282285,10.897173,107.921799
19/01/2021;15:31:57,8.502533,7.165071,20.6231,36.454849,5.176813,10.93318,108.02961
19/01/2021;15:31:58,8.4712,7.171317,20.646601,36.447929,5.08261,11.00447,108.122253
19/01/2021;15:31:59,8.443467,7.180058,20.6674,36.439754,5.08261,11.00447,108.122253
19/01/2021;15:32:00,8.415733,7.190913,20.6882,36.43116,4.977139,11.067132,108.185318
19/01/2021;15:32:01,8.415733,7.190913,20.6882,36.43116,4.871216,11.119158,108.232651
19/01/2021;15:32:02,8.384399,7.202381,20.7117,36.421585,4.777463,11.175416,108.307816
19/01/2021;15:32:03,8.3532,7.218679,20.7351,36.413834,4.671991,11.236933,108.412743
19/01/2021;15:32:04,8.325466,7.231531,20.755899,36.410233,4.565619,11.326065,108.579948
19/01/2021;15:32:05,8.2976,7.246276,20.7768,36.401703,4.472317,11.399368,108.741272
19/01/2021;15:32:06,8.2664,7.262508,20.8002,36.394577,4.378565,11.462185,108.854729
19/01/2021;15:32:07,8.234934,7.283659,20.823799,36.385586,4.272191,11.532132,108.954231
19/01/2021;15:32:08,8.2108,7.299799,20.8419,36.378944,4.178439,11.587284,109.014107
19/01/2021;15:32:09,8.1796,7.319094,20.865299,36.370132,4.085137,11.645915,109.101974
19/01/2021;15:32:10,8.148133,7.34105,20.888901,36.360779,3.990483,11.73164,109.157524
19/01/2021;15:32:11,8.123867,7.361029,20.907101,36.351784,3.990483,11.73164,109.157524
19/01/2021;15:32:12,8.123867,7.361029,20.907101,36.351784,3.885012,11.816795,109.167969
19/01/2021;15:32:13,8.090401,7.387384,20.932199,36.342777,3.783597,11.905025,109.145523
19/01/2021;15:32:14,8.062799,7.417748,20.9529,36.338726,3.690294,11.970451,109.129211
19/01/2021;15:32:15,8.034667,7.451099,20.973999,36.332924,3.583922,12.029877,109.146034
