REPORT START/STOP
Start Time,26/01/2021,14:59:42
End Time,26/01/2021,16:51:39

Program,R410A_wiederholgenaui
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
26/01/2021;14:59:42,7.995,17.749331,18.004999,17.741655,4.968156,25.102976,35.093502
26/01/2021;14:59:43,7.981133,17.743692,18.018867,17.736839,4.916005,25.11344,35.073204
26/01/2021;14:59:44,7.965533,17.738607,18.034466,17.730188,4.863852,25.120043,35.066723
26/01/2021;14:59:45,7.9516,17.732628,18.048401,17.724819,4.811448,25.12336,35.039665
26/01/2021;14:59:46,7.9376,17.727289,18.062401,17.718555,4.752275,25.113894,35.001823
26/01/2021;14:59:47,7.923533,17.722,18.076466,17.713263,4.699371,25.106581,34.966591
26/01/2021;14:59:48,7.908,17.716562,18.091999,17.706747,4.641201,25.094236,34.962952
26/01/2021;14:59:49,7.895934,17.712313,18.104067,17.701084,4.582528,25.095022,34.961727
26/01/2021;14:59:50,7.8802,17.706676,18.119801,17.695187,4.582528,25.095022,34.961727
26/01/2021;14:59:51,7.866333,17.703005,18.133667,17.690956,4.536394,25.103699,34.941284
26/01/2021;14:59:52,7.8508,17.696674,18.1492,17.684076,4.477973,25.111225,34.898964
26/01/2021;14:59:53,7.836734,17.691841,18.163267,17.678888,4.412783,25.11504,34.87709
26/01/2021;14:59:54,7.836734,17.691841,18.163267,17.678888,4.366899,25.110729,34.845978
26/01/2021;14:59:55,7.819533,17.687939,18.180466,17.672821,4.307977,25.105045,34.829536
26/01/2021;14:59:56,7.805667,17.682545,18.194334,17.667231,4.249556,25.0996,34.809853
26/01/2021;14:59:57,7.791734,17.677517,18.208267,17.662058,4.203671,25.095076,34.79044
26/01/2021;14:59:58,7.7744,17.670877,18.225599,17.655615,4.151518,25.09218,34.768108
26/01/2021;14:59:59,7.760201,17.666962,18.239799,17.650537,4.098113,25.079105,34.723072
26/01/2021;15:00:00,7.744667,17.660818,18.255333,17.644392,4.039692,25.075569,34.692921
26/01/2021;15:00:01,7.730866,17.655758,18.269133,17.638233,3.98779,25.066704,34.69585
26/01/2021;15:00:02,7.715134,17.649904,18.284866,17.632326,3.98779,25.066704,34.69585
26/01/2021;15:00:03,7.715134,17.649904,18.284866,17.632326,3.928617,25.055424,34.664448
26/01/2021;15:00:04,7.701734,17.645647,18.298267,17.626732,3.87822,25.050041,34.652622
26/01/2021;15:00:05,7.687867,17.640846,18.312134,17.622049,3.819798,25.057917,34.632793
26/01/2021;15:00:06,7.672333,17.63596,18.327667,17.616566,3.761127,25.064781,34.610363
26/01/2021;15:00:07,7.6584,17.630693,18.3416,17.610672,3.702204,25.062807,34.595089
26/01/2021;15:00:08,7.6428,17.62615,18.357201,17.605085,3.650051,25.062841,34.577759
26/01/2021;15:00:09,7.628934,17.621403,18.371067,17.600939,3.59138,25.057007,34.55827
26/01/2021;15:00:10,7.613267,17.615286,18.386734,17.594851,3.532457,25.043533,34.531437
26/01/2021;15:00:11,7.597667,17.609964,18.402332,17.58824,3.532457,25.043533,34.531437
26/01/2021;15:00:12,7.5838,17.605944,18.416201,17.584257,3.480306,25.03739,34.511261
26/01/2021;15:00:13,7.5698,17.60075,18.430201,17.578806,3.421133,25.029596,34.471573
26/01/2021;15:00:14,7.555933,17.596264,18.444067,17.573074,3.362461,25.026674,34.439541
26/01/2021;15:00:15,7.555933,17.596264,18.444067,17.573074,3.29752,25.023096,34.412556
26/01/2021;15:00:16,7.542133,17.591543,18.457867,17.567261,3.251386,25.020002,34.396423
26/01/2021;15:00:17,7.522933,17.584099,18.477066,17.560129,3.192965,25.017288,34.369205
26/01/2021;15:00:18,7.509133,17.579187,18.490868,17.556452,3.134294,25.027302,34.341888
26/01/2021;15:00:19,7.4934,17.575678,18.506599,17.550772,3.08189,25.039042,34.328426
26/01/2021;15:00:20,7.4796,17.572821,18.520399,17.547478,3.036257,25.040844,34.303028
26/01/2021;15:00:21,7.465734,16.878878,18.534267,18.622137,3.036257,25.040844,34.303028
26/01/2021;15:00:22,7.450067,14.978378,18.549932,24.243368,2.971066,25.025579,34.275948
26/01/2021;15:00:23,7.4344,13.344387,18.565599,26.451445,2.925181,24.990715,34.179237
26/01/2021;15:00:24,7.4344,13.344387,18.565599,26.451445,2.866509,24.660475,33.937649
26/01/2021;15:00:25,7.4206,13.711611,18.579399,27.908064,2.807838,23.726738,33.819328
26/01/2021;15:00:26,7.406667,13.210695,18.593334,27.98488,2.755436,22.299074,33.755672
26/01/2021;15:00:27,7.391,11.428782,18.608999,27.19207,2.703282,20.535219,33.750793
26/01/2021;15:00:28,7.3772,10.017613,18.622801,27.803778,2.643859,18.346247,34.222729
26/01/2021;15:00:29,7.363267,8.902487,18.636734,28.947966,2.592208,16.446217,35.592037
26/01/2021;15:00:30,7.347667,8.352006,18.652332,29.514246,2.533536,14.891467,37.838802
26/01/2021;15:00:31,7.331867,7.965531,18.668133,30.054525,2.480883,14.065012,40.062328
26/01/2021;15:00:32,7.3198,7.674691,18.680201,30.377899,2.480883,14.065012,40.062328
26/01/2021;15:00:33,7.304267,7.419254,18.695732,30.297819,2.42873,13.847252,42.016964
26/01/2021;15:00:34,7.2902,7.252913,18.709801,29.618631,2.376828,14.020823,43.905056
26/01/2021;15:00:35,7.276467,7.093941,18.723534,28.599674,2.317405,14.434381,46.020546
26/01/2021;15:00:36,7.260867,6.908088,18.739134,27.868818,2.259234,14.79332,48.148388
26/01/2021;15:00:37,7.260867,6.908088,18.739134,27.868818,2.194043,14.897824,50.138355
26/01/2021;15:00:38,7.246867,6.696163,18.753134,27.426939,2.148159,14.643105,51.881081
26/01/2021;15:00:39,7.231267,6.537907,18.768734,27.223064,2.096006,14.114996,53.422375
26/01/2021;15:00:40,7.2192,6.451706,18.7808,27.142008,2.037334,13.317682,54.918625
26/01/2021;15:00:41,7.203466,6.348368,18.796534,27.092316,1.991451,12.499126,56.184082
26/01/2021;15:00:42,7.187867,6.23695,18.812134,27.035133,1.932779,11.565331,57.555016
26/01/2021;15:00:43,7.174067,6.156929,18.825933,27.010506,1.874107,10.698692,58.742458
26/01/2021;15:00:44,7.160067,6.080266,18.839933,27.02837,1.874107,10.698692,58.742458
26/01/2021;15:00:45,7.144533,6.005939,18.855467,27.066179,1.821704,9.776422,59.893356
26/01/2021;15:00:46,7.130667,5.939416,18.869333,27.110161,1.769552,8.90375,60.902153
26/01/2021;15:00:47,7.116734,5.870024,18.883266,27.157082,1.71088,7.955541,61.878502
26/01/2021;15:00:48,7.116734,5.870024,18.883266,27.157082,1.658477,6.982796,62.864685
26/01/2021;15:00:49,7.101133,5.79529,18.898867,27.204508,1.606324,6.090547,63.738705
26/01/2021;15:00:50,7.085533,5.723603,18.914467,27.250244,1.547152,5.176653,64.52636
26/01/2021;15:00:51,7.068133,5.63948,18.931866,27.298422,1.48848,4.291775,65.306656
26/01/2021;15:00:52,7.052533,5.574865,18.947466,27.332561,1.436578,3.531541,65.993332
26/01/2021;15:00:53,7.038533,5.51589,18.961466,27.363817,1.383924,2.765117,66.692101
26/01/2021;15:00:54,7.022933,5.434043,18.977066,27.383774,1.331772,2.126873,67.317261
26/01/2021;15:00:55,7.009133,5.327792,18.990868,27.387461,1.331772,2.126873,67.317261
26/01/2021;15:00:56,7.009133,5.327792,18.990868,27.387461,1.273351,1.520914,67.965797
26/01/2021;15:00:57,6.9934,5.245445,19.006599,27.382278,1.220696,0.9763700366020203,68.614784
26/01/2021;15:00:58,6.981267,5.193492,19.018734,27.378386,1.168544,0.5445330739021301,69.264679
26/01/2021;15:00:59,6.965734,5.149701,19.034267,27.371429,1.110123,0.217748761177063,69.913109
26/01/2021;15:01:00,6.951734,5.105752,19.048267,27.360172,1.057469,-0.001502193510532379,70.541901
26/01/2021;15:01:01,6.9362,5.066003,19.063801,27.34852,1.005568,-0.1746852397918701,71.227249
26/01/2021;15:01:02,6.922334,5.032607,19.077667,27.336775,0.9403762817382813,-0.3108945786952972,71.849762
26/01/2021;15:01:03,6.9084,4.998489,19.0916,27.320726,0.8944931030273438,-0.4134239554405212,72.421982
26/01/2021;15:01:04,6.8934,4.968783,19.1066,27.303553,0.8380775451660156,-0.4998987317085266,72.999733
26/01/2021;15:01:05,6.877867,4.944147,19.122133,27.282032,0.7796564102172852,-0.5770418643951416,73.572479
26/01/2021;15:01:06,6.864,4.924168,19.136,27.262558,0.727503776550293,-0.6348782777786255,74.025253
26/01/2021;15:01:07,6.850067,4.907891,19.149933,27.242226,0.727503776550293,-0.6348782777786255,74.025253
26/01/2021;15:01:08,6.8362,4.896276,19.163799,27.224289,0.6751012802124023,-0.7003434896469116,74.584473
26/01/2021;15:01:09,6.8362,4.896276,19.163799,27.224289,0.6229476928710938,-0.7412391304969788,75.056564
26/01/2021;15:01:10,6.822333,4.882121,19.177666,27.207022,0.5642766952514648,-0.7877155542373657,75.524963
26/01/2021;15:01:11,6.8084,4.867661,19.191601,27.194162,0.5053539276123047,-0.8553094863891602,76.027809
26/01/2021;15:01:12,6.7928,4.852142,19.207199,27.179525,0.4532022476196289,-0.9181302785873413,76.458389
26/01/2021;15:01:13,6.7772,4.840613,19.222799,27.166695,0.3945302963256836,-0.9831940531730652,76.872154
26/01/2021;15:01:14,6.763267,4.829969,19.236732,27.152582,0.3486461639404297,-1.056397,77.262787
26/01/2021;15:01:15,6.749333,4.819759,19.250668,27.137703,0.2899742126464844,-1.142436,77.686996
26/01/2021;15:01:16,6.7338,4.807812,19.266199,27.11878,0.2378225326538086,-1.209495,78.037155
26/01/2021;15:01:17,6.719867,4.798601,19.280132,27.100401,0.1854190826416016,-1.281885,78.388832
26/01/2021;15:01:18,6.706,4.787404,19.294001,27.080776,0.133265495300293,-1.361149,78.711433
26/01/2021;15:01:19,6.692067,4.775105,19.307934,27.057943,0.08086299896240234,-1.444269,79.034256
26/01/2021;15:01:20,6.6782,4.764791,19.3218,27.036764,0.08086299896240234,-1.444269,79.034256
26/01/2021;15:01:21,6.662601,4.753324,19.3374,27.012424,0.02219104766845703,-1.527521,79.382874
26/01/2021;15:01:22,6.662601,4.753324,19.3374,27.012424,-0.03647994995117188,-1.599569,79.714821
26/01/2021;15:01:23,6.6468,4.740241,19.353199,26.989935,-0.08938503265380859,-1.688223,80.048958
26/01/2021;15:01:24,6.633,4.727132,19.367001,26.967566,-0.1478061676025391,-1.780923,80.354454
26/01/2021;15:01:25,6.6192,4.711373,19.3808,26.940773,-0.1997079849243164,-1.867762,80.636864
