REPORT START/STOP
Start Time,21/05/2021,09:54:49
End Time,21/05/2021,11:17:04

Program,R454C_pi_3
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
21/05/2021;09:54:49,?,9.741168,?,21.462778,400,0,25,21.367844
21/05/2021;09:54:50,?,9.740601,?,21.462606,400,1.756708,25,21.369522
21/05/2021;09:54:51,?,9.740421,?,21.462606,400,1.756708,25,21.369522
21/05/2021;09:54:52,?,9.740512,?,21.460205,400,38.599537,25,21.365326
21/05/2021;09:54:53,?,9.741271,?,21.455452,400,89.363892,25,21.363087
21/05/2021;09:54:54,?,9.74074,?,21.459183,400,130.5327,25,21.372534
21/05/2021;09:54:55,?,9.740387,?,21.467113,400,153.468475,25,21.387938
21/05/2021;09:54:56,?,9.74085,?,21.462372,400,170.694305,25,21.38785
21/05/2021;09:54:57,?,9.74085,?,21.480555,400,189.389893,25,21.380455
21/05/2021;09:54:58,?,9.740666,?,21.471972,400,211.637894,25,21.371967
21/05/2021;09:54:59,?,9.740179,?,21.456055,400,231.540878,25,21.369585
21/05/2021;09:55:00,?,9.740755,?,21.457567,400,245.99353,25,21.38018
21/05/2021;09:55:01,?,9.741306,?,21.47142,400,260.315979,25,21.386534
21/05/2021;09:55:02,?,9.740384,?,21.463531,400,272.664551,25,21.387667
21/05/2021;09:55:03,?,9.740918,?,21.460209,400,284.698059,25,21.395267
21/05/2021;09:55:04,?,9.740351,?,21.468504,400,296.311127,25,21.395678
21/05/2021;09:55:05,?,9.740822,?,21.471262,400,305.180878,25,21.391619
21/05/2021;09:55:06,?,9.740849,?,21.476742,400,313.382629,25,21.388721
21/05/2021;09:55:07,?,9.740499,?,21.476742,400,313.382629,25,21.388721
21/05/2021;09:55:08,?,9.740365,?,21.482574,400,321.869659,25,21.39403
21/05/2021;09:55:09,?,9.740807,?,21.482756,400,328.519592,25,21.392744
21/05/2021;09:55:10,?,9.741137,?,21.482027,400,334.812897,25,21.39773
21/05/2021;09:55:11,?,9.740864,?,21.479729,400,340.554352,25,21.411448
21/05/2021;09:55:12,?,9.740864,?,21.46685,400,346.638397,25,21.435751
21/05/2021;09:55:13,?,9.740961,?,21.468508,400,351.478638,25,21.453922
21/05/2021;09:55:14,?,9.740623,?,21.48687,400,356.141296,25,21.469738
21/05/2021;09:55:15,?,9.741049,?,21.505547,400,359.989624,25,21.48402
21/05/2021;09:55:16,?,9.740981,?,21.481363,400,363.766724,25,21.499434
21/05/2021;09:55:17,?,9.74159,?,21.475967,400,367.063721,25,21.51177
21/05/2021;09:55:18,?,9.741831,?,21.491497,400,370.261322,25,21.517324
21/05/2021;09:55:19,?,9.74169,?,21.49498,400,373.252991,25,21.50432
21/05/2021;09:55:20,?,9.741649,?,21.485136,400,375.487579,25,21.49778
21/05/2021;09:55:21,?,9.742038,?,21.495365,400,377.555695,25,21.500486
21/05/2021;09:55:22,?,9.74164,?,21.495365,400,377.555695,25,21.500486
21/05/2021;09:55:23,?,9.741623,?,21.500895,400,379.941711,25,21.505344
21/05/2021;09:55:24,?,9.741275,?,21.504776,400,382.084351,25,21.515959
21/05/2021;09:55:25,?,9.741275,?,21.509901,400,383.711365,25,21.517822
21/05/2021;09:55:26,?,9.742104,?,21.497118,400,384.883759,25,21.516186
21/05/2021;09:55:27,?,9.74231,?,21.490187,400,386.394257,25,21.519548
21/05/2021;09:55:28,?,9.742494,?,21.494385,400,387.915161,25,21.526585
21/05/2021;09:55:29,?,9.742491,?,21.496115,400,389.008209,25,21.534462
21/05/2021;09:55:30,?,9.743277,?,21.498625,400,389.915619,25,21.54014
21/05/2021;09:55:31,?,9.743237,?,21.498802,400,390.863831,25,21.541311
21/05/2021;09:55:32,?,9.742834,?,21.512127,400,391.574371,25,21.538017
21/05/2021;09:55:33,?,9.743107,?,21.516809,400,392.554047,25,21.540689
21/05/2021;09:55:34,?,9.743299,?,21.511091,400,393.169342,25,21.540358
21/05/2021;09:55:35,?,9.742847,?,21.489912,400,393.769714,25,21.54528
21/05/2021;09:55:36,?,9.743114,?,21.489912,400,393.769714,25,21.54528
21/05/2021;09:55:37,?,9.743183,?,21.495646,400,394.78418,25,21.541161
21/05/2021;09:55:38,?,9.743012,?,21.489107,400,395.415924,25,21.5319
21/05/2021;09:55:39,?,9.743523,?,21.473116,400,395.68689,25,21.530685
21/05/2021;09:55:40,?,9.743523,?,21.466129,400,395.872314,25,21.534718
21/05/2021;09:55:41,?,10.336102,?,21.496473,400,384.910095,25,21.53709
21/05/2021;09:55:42,?,10.125967,?,21.538963,400,391.68927,25,21.540617
21/05/2021;09:55:43,?,9.800245,?,21.543533,400,401.89386,25,21.548223
21/05/2021;09:55:44,?,9.611464,?,21.536551,400,403.318542,25,21.550364
21/05/2021;09:55:45,?,9.366542,?,21.533281,400,400.023041,25,21.546082
21/05/2021;09:55:46,?,8.890938,?,21.508408,400,397.577423,25,21.543917
21/05/2021;09:55:47,?,8.36969,?,21.475628,400,397.202087,25,21.544756
21/05/2021;09:55:48,?,7.816189,?,21.403805,400,397.806427,25,21.54793
21/05/2021;09:55:49,?,7.252955,?,21.318888,400,398.396545,25,21.554281
21/05/2021;09:55:50,?,6.769418,?,21.219227,400,398.785431,25,21.549656
