REPORT START/STOP
Start Time,19/05/2021,12:59:50
End Time,19/05/2021,14:54:29

Program,R454C_pi_4.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
19/05/2021;12:59:50,?,11.123849,?,16.267216,?,26.041676,48.22485
19/05/2021;12:59:51,11.975733,11.236488,12.0364,16.106701,22.946152,26.341082,48.195465
19/05/2021;12:59:52,11.951468,11.32596,12.0728,15.983604,22.876242,26.688377,48.157539
19/05/2021;12:59:53,11.9272,11.431793,12.1092,15.837619,22.81436,26.949724,48.125221
19/05/2021;12:59:54,11.896517,11.548449,12.155225,15.688476,22.75248,27.159306,48.098446
19/05/2021;12:59:55,11.872367,11.634246,12.19145,15.569492,22.690304,27.358986,48.060238
19/05/2021;12:59:56,11.845183,11.722363,12.232225,15.45122,22.620687,27.53669,47.989769
19/05/2021;12:59:57,11.820683,11.80386,12.268975,15.338656,22.557915,27.68816,47.89389
19/05/2021;12:59:58,11.796417,11.885205,12.305375,15.218448,22.488598,27.816687,47.816822
19/05/2021;12:59:59,11.796417,11.885205,12.305375,15.218448,22.427015,27.944315,47.713585
19/05/2021;13:00:00,11.769234,11.958522,12.34615,15.10399,22.427015,27.944315,47.713585
19/05/2021;13:00:01,11.744734,12.03552,12.3829,14.987604,22.356806,28.063652,47.638519
19/05/2021;13:00:02,11.720583,12.104601,12.419126,14.886709,22.287487,28.169239,47.562191
19/05/2021;13:00:03,11.696316,12.165028,12.455525,14.787572,22.217873,28.273838,47.496216
19/05/2021;13:00:04,11.671817,12.224641,12.492275,14.694649,22.163132,28.381617,47.438652
19/05/2021;13:00:05,11.64755,12.280793,12.528675,14.606554,22.086081,28.511547,47.37178
19/05/2021;13:00:05,11.617333,12.340518,12.573999,14.514402,22.016464,28.631077,47.34528
19/05/2021;13:00:06,11.59295,12.387823,12.610576,14.439316,21.962023,28.735201,47.303783
19/05/2021;13:00:07,11.562616,12.447651,12.656075,14.357392,21.892408,28.841988,47.298691
19/05/2021;13:00:08,11.562616,12.447651,12.656075,14.357392,21.892408,28.841988,47.298691
19/05/2021;13:00:09,11.534967,12.495296,12.69755,14.28754,21.822792,28.965309,47.26704
19/05/2021;13:00:10,11.510933,12.534966,12.7336,14.228639,21.760616,29.079292,47.213982
19/05/2021;13:00:11,11.483633,12.578337,12.77455,14.157242,21.691,29.199675,47.138538
