REPORT START/STOP
Start Time,20/05/2021,12:23:27
End Time,20/05/2021,13:52:20

Program,R454C_pi_5.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
20/05/2021;12:23:27,?,15.705212,?,25.793797,400,0,25,28.919186
20/05/2021;12:23:28,?,15.715763,?,25.922417,400,0,25,28.907061
20/05/2021;12:23:29,?,15.723446,?,26.030304,400,43.734612,25,28.897976
20/05/2021;12:23:30,?,15.731904,?,26.131985,400,312.740356,25,28.903427
20/05/2021;12:23:31,?,15.734449,?,26.242451,400,436.01178,25,28.91197
20/05/2021;12:23:32,?,15.738704,?,26.344301,400,445.314453,25,28.91214
20/05/2021;12:23:33,?,15.741627,?,26.419266,400,412.263824,25,28.906811
20/05/2021;12:23:34,?,15.745764,?,26.505686,400,369.346741,25,28.906487
20/05/2021;12:23:35,?,15.746607,?,26.597424,400,317.793549,25,28.910202
20/05/2021;12:23:36,?,15.746275,?,26.676689,400,308.845398,25,28.903904
20/05/2021;12:23:37,?,15.746845,?,26.756172,400,333.314514,25,28.904497
20/05/2021;12:23:38,?,15.745457,?,26.856865,400,351.894135,25,28.907852
20/05/2021;12:23:39,?,15.745457,?,26.856865,400,351.894135,25,28.907852
20/05/2021;12:23:40,?,15.743545,?,26.934492,400,356.382355,25,28.908459
20/05/2021;12:23:41,?,15.741868,?,27.009413,400,355.577637,25,28.911102
20/05/2021;12:23:42,?,15.739202,?,27.088928,400,355.940735,25,28.918955
20/05/2021;12:23:43,?,15.73485,?,27.187607,400,360.137207,25,28.920702
20/05/2021;12:23:44,?,15.731975,?,27.262207,400,365.379425,25,28.932674
20/05/2021;12:23:45,?,15.728731,?,27.333498,400,369.332367,25,28.939444
20/05/2021;12:23:46,?,15.725318,?,27.416386,400,371.690521,25,28.945765
20/05/2021;12:23:47,?,15.721753,?,27.499603,400,373.888794,25,28.950665
20/05/2021;12:23:48,?,15.717957,?,27.569662,400,376.253662,25,28.951588
20/05/2021;12:23:49,?,15.71417,?,27.653685,400,378.665436,25,28.949549
20/05/2021;12:23:50,?,15.709631,?,27.712585,400,380.743042,25,28.9533
20/05/2021;12:23:51,?,15.706345,?,27.780661,400,382.615265,25,28.946449
20/05/2021;12:23:52,?,15.702662,?,27.860744,400,384.128448,25,28.940857
20/05/2021;12:23:53,?,15.698283,?,27.911737,400,385.451599,25,28.943272
20/05/2021;12:23:54,?,15.694116,?,27.979645,400,386.854279,25,28.954515
20/05/2021;12:23:55,?,15.694116,?,27.979645,400,386.854279,25,28.954515
20/05/2021;12:23:56,?,15.689588,?,28.051743,400,388.087372,25,28.960199
20/05/2021;12:23:57,?,15.686007,?,28.090569,400,389.114807,25,28.959793
20/05/2021;12:23:58,?,15.682474,?,28.12162,400,390.024078,25,28.963509
20/05/2021;12:23:59,?,15.678423,?,28.177862,400,391.322418,25,28.964035
20/05/2021;12:24:00,?,15.674885,?,28.239902,400,392.037231,25,28.960371
20/05/2021;12:24:01,?,15.669945,?,28.301481,400,392.481323,25,28.96327
20/05/2021;12:24:02,?,15.665718,?,28.357111,400,393.123535,25,28.955538
20/05/2021;12:24:03,?,15.660642,?,28.398361,400,394.01297,25,28.934725
20/05/2021;12:24:04,?,15.656239,?,28.448912,400,394.555481,25,28.926647
20/05/2021;12:24:05,?,15.652063,?,28.501791,400,394.95105,25,28.93646
