REPORT START/STOP
Start Time,20/05/2021,14:51:10
End Time,20/05/2021,16:32:52

Program,R454C_pi_5.5_5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
20/05/2021;14:51:10,?,18.042021,?,46.345955,400,0,25,33.114498
20/05/2021;14:51:11,?,18.042112,?,46.332474,400,0,25,33.118908
20/05/2021;14:51:12,?,18.037735,?,46.351196,400,86.023376,25,33.112232
20/05/2021;14:51:13,?,18.033234,?,46.341854,400,321.74115,25,33.105148
20/05/2021;14:51:14,?,18.03137,?,46.329811,400,429.461914,25,33.10593
20/05/2021;14:51:15,?,18.028347,?,46.321133,400,428.023743,25,33.110558
20/05/2021;14:51:16,?,18.028347,?,46.314812,400,387.311401,25,33.107925
20/05/2021;14:51:17,?,18.02425,?,46.319729,400,333.780823,25,33.101135
20/05/2021;14:51:18,?,18.020851,?,46.322998,400,304.077332,25,33.095806
20/05/2021;14:51:19,?,18.015738,?,46.297874,400,319.580627,25,33.099304
20/05/2021;14:51:20,?,18.012453,?,46.266251,400,341.620514,25,33.094887
20/05/2021;14:51:21,?,18.009039,?,46.244946,400,351.952667,25,33.083229
20/05/2021;14:51:22,?,18.006569,?,46.244946,400,351.952667,25,33.083229
20/05/2021;14:51:23,?,18.002064,?,46.234245,400,352.679993,25,33.080029
20/05/2021;14:51:24,?,18.000603,?,46.220409,400,352.383942,25,33.085186
20/05/2021;14:51:25,?,17.998486,?,46.221142,400,355.785156,25,33.076427
20/05/2021;14:51:26,?,17.995668,?,46.210457,400,361.677979,25,33.072193
20/05/2021;14:51:27,?,17.990725,?,46.180645,400,366.275909,25,33.075912
20/05/2021;14:51:28,?,17.986368,?,46.159161,400,369.197754,25,33.076366
20/05/2021;14:51:29,?,17.984093,?,46.129684,400,371.735168,25,33.058815
20/05/2021;14:51:30,?,17.984093,?,46.117786,400,374.213226,25,33.0397
20/05/2021;14:51:31,?,17.981005,?,46.093002,400,376.413452,25,33.022057
20/05/2021;14:51:32,?,17.97662,?,46.082939,400,379.01767,25,33.005627
20/05/2021;14:51:33,?,17.974115,?,46.086002,400,381.191376,25,32.9977
20/05/2021;14:51:34,?,17.971272,?,46.069809,400,382.773102,25,32.99025
20/05/2021;14:51:35,?,17.9671,?,46.069809,400,382.773102,25,32.99025
20/05/2021;14:51:36,?,17.964066,?,46.060482,400,385.761414,25,32.960884
20/05/2021;14:51:37,?,17.961977,?,46.060482,400,385.761414,25,32.960884
20/05/2021;14:51:38,?,17.958469,?,46.036335,400,387.077759,25,32.948959
20/05/2021;14:51:39,?,17.956642,?,46.025349,400,388.310669,25,32.942554
20/05/2021;14:51:40,?,17.953472,?,46.037399,400,389.249878,25,32.939548
20/05/2021;14:51:41,?,17.948971,?,46.019081,400,390.414642,25,32.944283
20/05/2021;14:51:42,?,17.94721,?,46.014168,400,391.20636,25,32.942913
20/05/2021;14:51:43,?,17.944475,?,46.012779,400,391.805023,25,32.940884
20/05/2021;14:51:44,?,17.940416,?,46.027023,400,392.633759,25,32.932758
20/05/2021;14:51:45,?,17.939129,?,46.025188,400,393.30896,25,32.918362
