REPORT START/STOP
Start Time,19/05/2021,15:06:45
End Time,19/05/2021,17:31:48

Program,R454C_pi_5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
19/05/2021;15:06:45,7.989667,17.507721,14.0155,17.522575,22.946152,39.775742,50.277576
19/05/2021;15:06:46,7.975733,17.504627,14.0364,17.51951,22.876242,39.768051,50.256004
19/05/2021;15:06:47,7.961867,17.501875,14.057199,17.516754,22.81436,39.762054,50.215008
19/05/2021;15:06:48,7.944334,17.499126,14.0835,17.512989,22.736416,39.757442,50.176994
19/05/2021;15:06:49,7.9306,17.495369,14.104099,17.51149,22.674536,39.756813,50.153801
19/05/2021;15:06:50,7.915,17.494007,14.127501,17.509132,22.674536,39.756813,50.153801
19/05/2021;15:06:51,7.901,17.49147,14.1485,17.505747,22.597481,39.747734,50.115952
19/05/2021;15:06:52,7.8854,17.487776,14.1719,17.502495,22.542742,39.73159,50.10183
19/05/2021;15:06:53,7.8716,17.485069,14.1926,17.499992,22.481159,39.719429,50.086166
19/05/2021;15:06:54,7.8716,17.485069,14.1926,17.499992,22.403811,39.707035,50.059704
19/05/2021;15:06:55,7.8576,17.482355,14.2136,17.497169,22.349367,39.700592,50.040897
19/05/2021;15:06:56,7.841933,17.478394,14.237101,17.494303,22.27886,39.701332,50.020611
19/05/2021;15:06:57,7.826334,17.476402,14.2605,17.4918,22.217278,39.685402,49.994522
19/05/2021;15:06:58,7.8124,17.472746,14.281401,17.488766,22.147366,39.660397,49.970879
19/05/2021;15:06:59,7.798533,17.471207,14.3022,17.485556,22.147366,39.660397,49.970879
19/05/2021;15:07:00,7.782933,17.46661,14.3256,17.482889,22.070015,39.646351,49.958012
19/05/2021;15:07:01,7.770733,17.465021,14.343901,17.480465,22.00754,39.633766,49.939278
19/05/2021;15:07:02,7.755134,17.461311,14.3673,17.477783,21.937925,39.600548,49.908222
19/05/2021;15:07:03,7.741267,17.458618,14.3881,17.473743,21.868607,39.588875,49.878475
19/05/2021;15:07:04,7.727267,17.45669,14.4091,17.471642,21.813868,39.578732,49.855347
19/05/2021;15:07:05,7.711734,17.453743,14.4324,17.469715,21.736814,39.565315,49.835651
19/05/2021;15:07:06,7.711734,17.453743,14.4324,17.469715,21.659466,39.55904,49.828423
19/05/2021;15:07:07,7.697667,17.450651,14.4535,17.466227,21.605022,39.552433,49.811848
19/05/2021;15:07:08,7.683933,17.449364,14.4741,17.463509,21.542845,39.550797,49.791466
19/05/2021;15:07:09,7.668334,17.44598,14.497499,17.459948,21.542845,39.550797,49.791466
19/05/2021;15:07:10,7.656067,17.443842,14.515901,17.457624,21.473528,39.537498,49.793217
19/05/2021;15:07:11,7.640467,17.440727,14.5393,17.455242,21.411348,39.530876,49.775181
19/05/2021;15:07:12,7.626667,17.438713,14.559999,17.453129,21.334,39.53083,49.756462
19/05/2021;15:07:13,7.612667,17.43491,14.580999,17.449764,21.263493,39.534172,49.717369
19/05/2021;15:07:14,7.597067,17.43255,14.604401,17.446857,21.20191,39.530842,49.680779
19/05/2021;15:07:15,7.583267,17.429415,14.6251,17.443588,21.124857,39.508461,49.67601
19/05/2021;15:07:16,7.567533,17.426489,14.648701,17.440811,21.070118,39.478634,49.6502
19/05/2021;15:07:17,7.553667,17.424219,14.6695,17.438269,21.008238,39.4627,49.62112
19/05/2021;15:07:18,7.539866,17.420883,14.690201,17.434925,21.008238,39.4627,49.62112
19/05/2021;15:07:19,7.5242,17.417295,14.7137,17.433472,20.931187,39.457321,49.596203
19/05/2021;15:07:20,7.5242,17.417295,14.7137,17.433472,20.876743,39.446953,49.568172
19/05/2021;15:07:21,7.510333,17.414764,14.734501,17.429201,20.814863,39.432549,49.529419
