REPORT START/STOP
Start Time,27/05/2021,11:44:24
End Time,27/05/2021,14:08:27

Program,R454C_pi_5.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
27/05/2021;11:44:24,?,19.544506,?,42.069641,?,0.03560492768883705,?,27.6049
27/05/2021;11:44:25,?,19.541603,?,42.060699,400,0.006956154946237803,25,27.618725
27/05/2021;11:44:26,?,19.539635,?,42.054943,400,0.0014439239166677,25,27.635567
27/05/2021;11:44:27,?,19.539635,?,42.064003,400,238.764603,25,27.650261
27/05/2021;11:44:28,?,19.536268,?,42.059219,400,420.108093,25,27.661972
27/05/2021;11:44:29,?,19.533791,?,42.039772,400,456.667114,25,27.680624
27/05/2021;11:44:30,?,19.53126,?,42.017403,400,426.517029,25,27.702473
27/05/2021;11:44:31,?,19.527481,?,41.999306,400,383.346191,25,27.706036
27/05/2021;11:44:32,?,19.524204,?,41.988026,400,331.197418,25,27.703131
27/05/2021;11:44:33,?,19.522858,?,41.991364,400,306.096313,25,27.702579
27/05/2021;11:44:34,?,19.519951,?,41.999027,400,323.009888,25,27.700874
27/05/2021;11:44:35,?,19.516748,?,41.994591,400,346.504578,25,27.702772
27/05/2021;11:44:36,?,19.514524,?,41.994591,400,346.504578,25,27.702772
27/05/2021;11:44:37,?,19.512682,?,42.009972,400,356.717712,25,27.711445
27/05/2021;11:44:38,?,19.509817,?,42.02784,400,356.061066,25,27.71764
27/05/2021;11:44:39,?,19.507202,?,42.028839,400,354.887756,25,27.720661
27/05/2021;11:44:40,?,19.503983,?,42.03125,400,358.001862,25,27.725803
27/05/2021;11:44:41,?,19.500996,?,42.034084,400,363.863617,25,27.737627
27/05/2021;11:44:42,?,19.498123,?,42.033455,400,368.24411,25,27.743206
27/05/2021;11:44:43,?,19.495453,?,42.035934,400,371.16394,25,27.733706
27/05/2021;11:44:44,?,19.495453,?,42.048836,400,372.961121,25,27.729342
27/05/2021;11:44:45,?,19.491585,?,42.045395,400,375.146362,25,27.733332
27/05/2021;11:44:46,?,19.488768,?,42.035332,400,377.739227,25,27.748524
27/05/2021;11:44:47,?,19.486574,?,42.046898,400,380.142883,25,27.76449
27/05/2021;11:44:48,?,19.48385,?,42.033485,400,382.067444,25,27.780899
27/05/2021;11:44:49,?,19.481209,?,42.018841,400,383.546692,25,27.786818
27/05/2021;11:44:50,?,19.477873,?,42.008774,400,385.131317,25,27.796322
27/05/2021;11:44:51,?,19.475801,?,41.99564,400,386.323792,25,27.799423
27/05/2021;11:44:52,?,19.471062,?,41.990795,400,387.707123,25,27.809618
27/05/2021;11:44:53,?,19.469324,?,41.990795,400,387.707123,25,27.809618
27/05/2021;11:44:54,?,19.466297,?,41.995792,400,388.77475,25,27.824203
27/05/2021;11:44:55,?,19.461967,?,41.992443,400,389.883392,25,27.821985
27/05/2021;11:44:56,?,19.459616,?,41.984032,400,390.745941,25,27.826269
27/05/2021;11:44:57,?,19.459616,?,41.962025,400,392.054169,25,27.834536
27/05/2021;11:44:58,?,19.456354,?,41.959713,400,392.71048,25,27.82564
27/05/2021;11:44:59,?,19.451721,?,41.967094,400,392.933777,25,27.823238
27/05/2021;11:45:00,?,19.449669,?,41.959042,400,393.334778,25,27.829268
27/05/2021;11:45:01,?,19.447723,?,41.939888,400,394.472351,25,27.83456
27/05/2021;11:45:02,?,19.444241,?,41.927078,400,395.14325,25,27.831062
27/05/2021;11:45:03,?,19.441307,?,41.910412,400,395.418427,25,27.837606
27/05/2021;11:45:04,?,19.43782,?,41.901199,400,395.551178,25,27.850321
27/05/2021;11:45:05,?,19.433935,?,41.887665,400,396.253937,25,27.865242
27/05/2021;11:45:06,?,20.892578,?,41.879097,400,385.737091,25,27.862406
27/05/2021;11:45:07,?,21.576624,?,41.926498,400,387.428223,25,27.858135
27/05/2021;11:45:08,?,19.518251,?,41.926498,400,387.428223,25,27.858135
27/05/2021;11:45:09,?,17.570372,?,41.982929,400,398.291168,25,27.864931
27/05/2021;11:45:10,?,17.570372,?,41.995884,400,404.32428,25,27.881495
27/05/2021;11:45:11,?,16.502722,?,41.953575,400,402.26239,25,27.887846
27/05/2021;11:45:12,?,15.752646,?,41.835518,400,398.789276,25,27.881721
27/05/2021;11:45:13,?,14.772164,?,41.635437,400,397.300079,25,27.889416
27/05/2021;11:45:14,?,13.816106,?,41.359493,400,397.382324,25,27.899803
27/05/2021;11:45:15,?,13.032501,?,41.010983,400,398.602814,25,27.913654
27/05/2021;11:45:16,?,12.927052,?,40.651356,400,399.50766,25,27.928053
27/05/2021;11:45:17,?,12.598138,?,40.221191,400,399.855072,25,27.927563
27/05/2021;11:45:18,?,12.186375,?,39.745029,400,399.995728,25,27.916531
27/05/2021;11:45:19,?,11.90969,?,39.281601,400,399.933411,25,27.907751
27/05/2021;11:45:20,?,11.946006,?,38.776085,400,399.841431,25,27.906555
27/05/2021;11:45:21,?,11.709635,?,38.21801,400,399.709778,25,27.913721
27/05/2021;11:45:22,?,11.423826,?,38.21801,400,399.709778,25,27.913721
27/05/2021;11:45:23,?,11.0777,?,37.672546,400,399.669312,25,27.924707
27/05/2021;11:45:24,?,11.0777,?,37.129314,400,399.725769,25,27.929962
27/05/2021;11:45:25,?,10.832948,?,36.512745,400,399.815735,25,27.937687
