REPORT START/STOP
Start Time,27/05/2021,08:52:47
End Time,27/05/2021,11:07:53

Program,R454C_pi_5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
27/05/2021;08:52:47,?,9.341257,?,19.482172,?,11.079241,?,19.652081
27/05/2021;08:52:48,?,9.341257,?,19.465313,400,11.078339,25,19.650913
27/05/2021;08:52:49,?,9.341293,?,19.476694,400,15.337132,25,19.636442
27/05/2021;08:52:50,?,9.34158,?,19.483709,400,42.885342,25,19.638763
27/05/2021;08:52:51,?,9.341706,?,19.478559,400,84.163315,25,19.651756
27/05/2021;08:52:52,?,9.341908,?,19.469179,400,128.613785,25,19.658785
27/05/2021;08:52:53,?,9.341818,?,19.471996,400,156.631821,25,19.660734
27/05/2021;08:52:54,?,9.342347,?,19.471996,400,156.631821,25,19.660734
27/05/2021;08:52:55,?,9.342118,?,19.477707,400,177.947906,25,19.662596
27/05/2021;08:52:56,?,9.342798,?,19.473482,400,196.19873,25,19.6534
27/05/2021;08:52:57,?,9.342798,?,19.473503,400,217.424744,25,19.634212
27/05/2021;08:52:58,?,9.342045,?,19.489477,400,236.376587,25,19.632738
27/05/2021;08:52:59,?,9.341352,?,19.489956,400,251.982742,25,19.639271
27/05/2021;08:53:00,?,9.342552,?,19.486597,400,265.35025,25,19.640129
27/05/2021;08:53:01,?,9.342256,?,19.491299,400,277.288269,25,19.643314
27/05/2021;08:53:02,?,9.341045,?,19.479099,400,289.803864,25,19.646048
27/05/2021;08:53:03,?,9.340945,?,19.464924,400,299.667145,25,19.650488
27/05/2021;08:53:04,?,9.342019,?,19.462957,400,308.522217,25,19.659193
27/05/2021;08:53:05,?,9.342217,?,19.462957,400,308.522217,25,19.659193
27/05/2021;08:53:06,?,9.340862,?,19.47506,400,317.148315,25,19.671947
27/05/2021;08:53:07,?,9.341097,?,19.487103,400,325.262268,25,19.68667
27/05/2021;08:53:08,?,9.341806,?,19.474297,400,332.45929,25,19.700821
27/05/2021;08:53:09,?,9.342505,?,19.489061,400,338.612122,25,19.714422
27/05/2021;08:53:10,?,9.342505,?,19.472975,400,344.246063,25,19.738903
27/05/2021;08:53:11,?,9.342793,?,19.457993,400,349.731812,25,19.758461
27/05/2021;08:53:12,?,9.342295,?,19.476517,400,354.282593,25,19.770893
27/05/2021;08:53:13,?,9.342674,?,19.494797,400,358.503815,25,19.782585
27/05/2021;08:53:14,?,9.341673,?,19.487602,400,362.459503,25,19.787746
27/05/2021;08:53:15,?,9.341977,?,19.482355,400,366.224731,25,19.789171
27/05/2021;08:53:16,?,9.342429,?,19.482355,400,366.224731,25,19.789171
27/05/2021;08:53:17,?,9.342566,?,19.497623,400,370.021454,25,19.791508
27/05/2021;08:53:18,?,9.342458,?,19.4834,400,372.778198,25,19.785946
27/05/2021;08:53:19,?,9.342307,?,19.471622,400,375.410736,25,19.775202
27/05/2021;08:53:20,?,9.342079,?,19.479357,400,377.60144,25,19.766954
27/05/2021;08:53:21,?,9.341943,?,19.476233,400,379.713196,25,19.762602
27/05/2021;08:53:22,?,9.341943,?,19.466387,400,381.653046,25,19.765135
27/05/2021;08:53:23,?,9.342268,?,19.476479,400,383.388031,25,19.768307
27/05/2021;08:53:24,?,9.342314,?,19.50182,400,384.907837,25,19.77253
27/05/2021;08:53:25,?,9.34261,?,19.488216,400,386.282684,25,19.773205
27/05/2021;08:53:26,?,9.343342,?,19.491005,400,387.493622,25,19.77062
27/05/2021;08:53:27,?,9.343319,?,19.495079,400,388.950134,25,19.766722
27/05/2021;08:53:28,?,9.344129,?,19.495079,400,388.950134,25,19.766722
27/05/2021;08:53:29,?,9.343679,?,19.495619,400,389.864075,25,19.763821
27/05/2021;08:53:30,?,9.343705,?,19.494522,400,391.071838,25,19.77006
27/05/2021;08:53:31,?,9.343526,?,19.493263,400,391.843933,25,19.771225
27/05/2021;08:53:32,?,9.343117,?,19.496304,400,392.266083,25,19.766197
27/05/2021;08:53:33,?,9.343747,?,19.501122,400,392.961456,25,19.769648
27/05/2021;08:53:34,?,9.343747,?,19.49935,400,393.933411,25,19.772058
27/05/2021;08:53:35,?,9.343469,?,19.513239,400,394.550995,25,19.781897
27/05/2021;08:53:36,?,9.343719,?,19.506527,400,394.75473,25,19.789364
27/05/2021;08:53:37,?,9.343581,?,19.504305,400,395.476563,25,19.793552
27/05/2021;08:53:38,?,9.342093,?,19.499374,400,396.050476,25,19.794235
27/05/2021;08:53:39,?,9.343033,?,19.491364,400,396.301331,25,19.797926
27/05/2021;08:53:40,?,9.827483,?,19.500952,400,390.974518,25,19.807261
27/05/2021;08:53:41,?,9.910673,?,19.500952,400,390.974518,25,19.807261
27/05/2021;08:53:42,?,9.518642,?,19.499922,400,394.320282,25,19.819485
27/05/2021;08:53:43,?,9.296496,?,19.518234,400,399.419037,25,19.816456
27/05/2021;08:53:44,?,8.87983,?,19.524323,400,401.365173,25,19.812943
27/05/2021;08:53:45,?,8.363583,?,19.513615,400,400.140442,25,19.825069
27/05/2021;08:53:46,?,7.996161,?,19.484501,400,399.245758,25,19.829117
27/05/2021;08:53:47,?,7.996161,?,19.447424,400,399.093781,25,19.822853
27/05/2021;08:53:48,?,7.89976,?,19.386562,400,399.190247,25,19.820313
27/05/2021;08:53:49,?,7.783803,?,19.31572,400,399.214996,25,19.822052
27/05/2021;08:53:50,?,7.757513,?,19.171925,400,399.233063,25,19.816301
27/05/2021;08:53:51,?,7.834027,?,19.034639,400,399.254547,25,19.808477
27/05/2021;08:53:52,?,7.921223,?,18.843275,400,399.36731,25,19.805387
27/05/2021;08:53:53,?,8.01578,?,18.617285,400,399.414948,25,19.809658
27/05/2021;08:53:54,?,7.783261,?,18.617285,400,399.414948,25,19.809658
27/05/2021;08:53:55,?,6.788465,?,18.379948,400,399.475616,25,19.813007
27/05/2021;08:53:56,?,6.140627,?,18.122522,400,399.606995,25,19.816263
27/05/2021;08:53:57,?,5.758857,?,17.878319,400,399.677338,25,19.823063
27/05/2021;08:53:58,?,5.471874,?,17.620356,400,399.813965,25,19.819342
27/05/2021;08:53:59,?,5.471874,?,17.320288,400,400.031921,25,19.813753
27/05/2021;08:54:00,?,5.267293,?,17.05303,400,400.028107,25,19.81032
27/05/2021;08:54:01,?,5.117949,?,16.746269,400,400.020966,25,19.816669
27/05/2021;08:54:02,?,5.007998,?,16.461052,400,400.042694,25,19.817753
27/05/2021;08:54:03,?,4.920599,?,16.184015,400,400.082886,25,19.814919
27/05/2021;08:54:04,?,4.837796,?,15.955558,400,400.087036,25,19.816923
27/05/2021;08:54:05,?,4.76047,?,15.716747,400,400.127228,25,19.819017
27/05/2021;08:54:06,?,4.682333,?,15.716747,400,400.127228,25,19.819017
27/05/2021;08:54:07,?,4.617356,?,15.472319,400,400.197998,25,19.824467
27/05/2021;08:54:08,?,4.554226,?,15.274117,400,400.222168,25,19.830069
27/05/2021;08:54:09,?,4.479406,?,15.042569,400,400.212616,25,19.835732
27/05/2021;08:54:10,?,4.412341,?,14.849191,400,400.179596,25,19.846272
27/05/2021;08:54:11,?,4.412341,?,14.673773,400,400.12854,25,19.852781
27/05/2021;08:54:12,?,4.345415,?,14.516524,400,399.979309,25,19.863562
27/05/2021;08:54:13,?,4.275065,?,14.37141,400,400.090332,25,19.877731
27/05/2021;08:54:14,?,4.202773,?,14.206253,400,400.202576,25,19.893623
27/05/2021;08:54:15,?,4.127574,?,14.027387,400,400.232147,25,19.899376
27/05/2021;08:54:16,?,4.057151,?,13.869926,400,400.149231,25,19.901871
27/05/2021;08:54:17,?,3.989653,?,13.869926,400,400.149231,25,19.901871
27/05/2021;08:54:18,?,3.918832,?,13.700035,400,400.120178,25,19.90062
27/05/2021;08:54:19,?,3.847098,?,13.55945,400,400.116486,25,19.904934
27/05/2021;08:54:20,?,3.788325,?,13.439717,400,400.11908,25,19.91608
27/05/2021;08:54:21,?,3.723587,?,13.321301,400,400.10553,25,19.933744
27/05/2021;08:54:22,?,3.660505,?,13.215374,400,400.160675,25,19.941067
27/05/2021;08:54:23,?,3.602379,?,13.107709,400,400.155304,25,19.942265
27/05/2021;08:54:24,?,3.544256,?,13.015619,400,400.127625,25,19.942785
27/05/2021;08:54:25,?,3.491876,?,12.922523,400,400.041321,25,19.946892
27/05/2021;08:54:26,?,3.442638,?,12.8421,400,400.016266,25,19.9506
27/05/2021;08:54:27,?,3.442638,?,12.754074,400,400.154266,25,19.954758
27/05/2021;08:54:28,?,3.387633,?,12.666152,400,400.139771,25,19.962877
