P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,Current3,TC1,TC2,TC3,TC4,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is
4,3.93711,24,24.074947,6.31,7.015936,99.185272,NaN,5.627531,NaN,39.135143,400,399.849884,25,34.160213,10.517131,70.105316,50.008976,401.108154,398.188354,399.926758,3969.89917,9.125238,9.28336,8.97286,71.526443,54.576988,4.32014,-30.576096,31.261238,53.708893,19.641558,7.21955,53.593483,91.390953,96.97084,0.395284473896027,300.181915,404.832436869223,1.82074282790408,0.0593033497125355,0.943693492570146,-4.1452229388405,472.06688758257,1.88617734864888,0.0111839110172284,1.24487514275043,60.7092680038598,448.320961109392,80.6807365595658,0.00986503611474109,1.3367624688076
4,3.939773,24,24.077808,6.31,7.011369,99.160919,NaN,5.632531,NaN,39.112366,400,399.774719,25,34.159241,10.499405,69.996223,50.008976,401.108154,398.188354,399.926758,3969.89917,9.125238,9.28336,8.97286,71.599243,54.556683,4.310566,-30.542355,31.261238,53.708893,19.641558,7.21955,53.593483,91.390953,96.97084,0.395284473896027,300.181915,404.821874231198,1.82064877919996,0.0592576100631212,0.943783601771516,-4.12578205410045,472.032753283887,1.88607707676534,0.0111805724506885,1.24499622628659,60.7144265381701,448.290506608153,80.6617639042339,0.0098618428600006,1.33701123446319
4,3.940918,24,24.079031,6.31,7.006104,99.14373,NaN,5.634085,NaN,39.111362,400,399.799377,25,34.170368,10.500105,70.119522,50.008976,401.212982,398.573639,400.149658,3970.078613,9.11958,9.292268,9.022912,71.693428,54.577213,4.317967,-30.533123,31.265194,53.680157,19.666351,7.192878,53.58334,91.398369,96.972023,0.382074892520904,293.967957,404.814216229745,1.82059723050572,0.059236987444706,0.943823485254649,-4.11742622775438,472.009720517532,1.88601153853418,0.011178698855816,1.245067946832,60.7166315165989,448.273474364941,80.650653448837,0.00986024327601561,1.33714176636825
4,3.941511,24,24.078741,6.31,6.994063,99.094612,NaN,5.633549,NaN,39.119129,400,399.835541,25,34.181896,10.500566,70.190315,50.005383,401.122498,398.268921,399.838409,3970.480469,9.096776,9.281858,8.967717,71.71331,54.551651,4.30206,-30.5333,31.23558,53.704178,19.6376,7.215055,53.663799,91.415398,96.951477,0.378797292709351,291.236542,404.801458689273,1.82053915486453,0.0592235614571254,0.94384732116124,-4.11309944400392,471.948948979976,1.88584916301525,0.0111756385492469,1.24520736513434,60.7161086764838,448.252641696329,80.6346880419715,0.00985916828763804,1.33726013508132
4,3.941511,24,24.078741,6.31,6.991187,99.065315,NaN,5.633549,NaN,39.135387,400,399.806641,25,34.186199,10.495029,70.115646,50.005383,401.122498,398.268921,399.838409,3970.480469,9.096776,9.281858,8.967717,71.622833,54.54528,4.290988,-30.55743,31.23558,53.704178,19.6376,7.215055,53.663799,91.415398,96.951477,0.378797292709351,291.236542,404.798744182968,1.82052946513485,0.0592227123020499,0.943848301956254,-4.11309944400392,471.912466875419,1.88575115342933,0.0111737078064314,1.2452937012035,60.7161086764838,448.249213630604,80.6321245621827,0.00985896782859651,1.33728072955067
4,3.941719,24,24.081589,6.31,6.978595,99.048271,NaN,5.635206,NaN,39.136471,400,399.851013,25,34.18116,10.479177,70.079849,50.005383,401.179077,398.479156,399.981323,3971.268066,9.078624,9.291101,9.00015,71.611664,54.548962,4.328623,-30.561111,31.237413,53.645924,19.639902,7.205115,53.643833,91.362747,96.983139,0.395836710929871,290.487762,404.786370514805,1.82048089772554,0.0592155330245521,0.943859532902986,-4.11158190455785,471.887436135934,1.88567535522722,0.0111708584417006,1.24539363736626,60.7212431005643,448.234839031929,80.6251685331385,0.00985672174444282,1.33743320287935
4,3.941791,24,24.081839,6.31,6.978595,99.048271,NaN,5.635245,NaN,39.136471,400,399.851013,25,34.18116,10.494736,70.043655,50.005383,401.069397,398.343231,399.919403,3972.768066,9.105959,9.303535,9.002618,71.574272,54.548149,4.339642,-30.603857,31.224352,53.631607,19.678858,7.150861,53.642925,91.427864,96.953949,0.391550004482269,290.50824,404.786201346951,1.82047877186124,0.0592143349654023,0.943861931408376,-4.11105661676874,471.887102072698,1.88567370736141,0.0111707069558538,1.24539799609589,60.721693780857,448.234333370096,80.6251233796198,0.00985656881789572,1.33744204482292
4,3.941791,24,24.081839,6.31,6.964167,98.982521,NaN,5.635245,NaN,39.133839,400,399.813141,25,34.174465,10.512444,70.020012,50.005383,401.069397,398.343231,399.919403,3972.768066,9.105959,9.303535,9.002618,71.532745,54.545738,4.344296,-30.586742,31.224352,53.631607,19.678858,7.150861,53.642925,91.427864,96.953949,0.391550004482269,290.50824,404.772583271322,1.82043015695157,0.0592100748741529,0.943866880447062,-4.11105661676874,471.805210763847,1.88545366726598,0.0111663720627611,1.24559249532924,60.721693780857,448.217134936219,80.6122646775548,0.00985556310387577,1.33754550500317
4,3.942008,24,24.084152,6.31,6.947962,98.929214,NaN,5.63733,NaN,39.132374,400,399.7854,25,34.171356,10.53666,69.978195,50.005383,401.249207,398.456787,400.068451,3971.263184,9.135674,9.297348,9.001536,71.535652,54.542519,4.351921,-30.598486,31.220213,53.564991,19.689077,7.137558,53.708237,91.440186,96.941994,0.397984087467194,291.277466,404.756777784531,1.82036914344099,0.0592016796091424,0.943879694556831,-4.10947350212763,471.735712105108,1.88525995660861,0.0111614548832351,1.24579113304019,60.7258632907125,448.19783033326,80.6009137891077,0.00985329310288157,1.33771544630824
4,3.943896,24,24.08498,6.31,6.929301,98.922134,NaN,5.63967,NaN,39.121727,400,399.90564,25,34.175121,10.55533,70.009575,50.005383,401.325195,398.533966,400.194824,3973.556152,9.108009,9.284474,9.004217,71.442543,54.55719,4.377703,-30.617113,31.242083,53.650799,19.703436,7.123713,53.720993,91.470947,96.91404,0.381178230047226,289.947296,404.734724625303,1.82025051330575,0.0591647773550438,0.943949145655899,-4.09570249400207,471.725783521376,1.88523078858485,0.01116048629933,1.24582667248099,60.7273557970894,448.156682307787,80.571260197741,0.00985047817138254,1.33798278588466
